,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,URL,카테고리,기술스택
111,백엔드 및 서버 개발자(경력 1년 이상),스쿨버스,"['REST API', 'Java', 'java', 'JavaScript', 'MariaDB', 'Node.js', 'Flutter', 'AWS', 'Dart']",9,262,1,3,서울,강서구,70,2024-06-02 20:33:04.740887,https://www.jumpit.co.kr/position/25511,서버/백엔드 개발자,java
335,시니어 백엔드 개발자,오엔제이,"['spring', 'amazon ec2', 'java', 'Git', 'MySQL', 'Redis']",3,368,5,10,서울,강남구,70,2024-06-02 20:34:00.987359,https://www.jumpit.co.kr/position/20678,서버/백엔드 개발자,java
724,개발자(JAVA/Spring),쥬비스다이어트,"['java', 'Spring', 'javascript']",22,1531,3,8,서울,강남구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/19731,웹 풀스택 개발자,java
725,"여행 IT 개발(JAVA, Spring)자 채용",틱스잇,"['java', 'Git', 'Linux', 'Spring Framework', 'react', 'vue.js', 'Spring', 'Jira', 'AWS']",41,5343,2,10,서울,성동구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/9448,웹 풀스택 개발자,java
727,통합 보안 솔루션 개발자 채용,SGA솔루션즈,"['spring', 'spring boot', 'java', 'html5', 'apache tomcat', 'css 3']",7,246,0,10,서울,송파구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/25864,웹 풀스택 개발자,java
1474,Application Architect (고급),코그넷나인,['java'],0,155,8,15,서울,서초구,70,2024-06-02 20:34:30.551886,https://www.jumpit.co.kr/position/15495,devops/시스템 엔지니어,java
1646,프로젝트 어시스턴트,라라스테이션,"['java', 'microsoft office 365']",12,890,0,10,서울,강남구,70,2024-06-02 20:33:39.321741,https://www.jumpit.co.kr/position/15173,개발 PM,java
1654,개발팀 리드,오엔제이,"['spring', 'java', 'MySQL', 'Redis', 'react', 'typescript', 'aws', 'Spring Data JPA']",15,1337,10,20,서울,강남구,70,2024-06-02 20:33:46.894216,https://www.jumpit.co.kr/position/15716,개발 PM,java
1892,통합 보안 솔루션 개발자 채용,SGA솔루션즈,"['spring', 'spring boot', 'java', 'html5', 'apache tomcat', 'css 3']",7,246,0,10,서울,송파구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/25864,SW/솔루션,java
2627,백엔드 개발자 담당,인피니티익스체인지코리아,"['spring boot', 'spring data jpa', 'rest api', 'mysql', 'aws', 'Spring Data JPA', 'redis', 'Mybatis']",10,202,3,7,서울,강남구,70,2024-06-02 20:33:15.558810,https://www.jumpit.co.kr/position/25482,서버/백엔드 개발자,rest api
3171,[병역특례] 풀스택개발 산업기능요원 모집,넛지헬스케어,"['REST API', 'python', 'Git', 'rest api', 'Redux', 'Node.js', 'aws', 'AWS', 'React', 'javascript']",60,2565,0,2,서울,강남구,70,2024-06-02 20:32:49.578508,https://www.jumpit.co.kr/position/12720,웹 풀스택 개발자,rest api
3361,CJ ONE 모바일앱 Android 시스템 개발/운영,씨제이올리브네트웍스(CJ올리브네트웍스),"['Java', 'Git', 'rest api', 'Android OS', 'Kotlin']",41,1996,5,12,서울,용산구,70,2024-06-02 20:33:17.705821,https://www.jumpit.co.kr/position/21526,안드로이드 개발자,rest api
5088,백엔드 개발자 담당,인피니티익스체인지코리아,"['spring boot', 'spring data jpa', 'rest api', 'mysql', 'aws', 'Spring Data JPA', 'redis', 'Mybatis']",10,202,3,7,서울,강남구,70,2024-06-02 20:33:15.558810,https://www.jumpit.co.kr/position/25482,서버/백엔드 개발자,spring boot
5649,통합 보안 솔루션 개발자 채용,SGA솔루션즈,"['spring', 'spring boot', 'java', 'html5', 'apache tomcat', 'css 3']",7,246,0,10,서울,송파구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/25864,웹 풀스택 개발자,spring boot
6814,통합 보안 솔루션 개발자 채용,SGA솔루션즈,"['spring', 'spring boot', 'java', 'html5', 'apache tomcat', 'css 3']",7,246,0,10,서울,송파구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/25864,SW/솔루션,spring boot
7718,시니어 백엔드 개발자,오엔제이,"['spring', 'amazon ec2', 'java', 'Git', 'MySQL', 'Redis']",3,368,5,10,서울,강남구,70,2024-06-02 20:34:00.987359,https://www.jumpit.co.kr/position/20678,서버/백엔드 개발자,spring
8110,통합 보안 솔루션 개발자 채용,SGA솔루션즈,"['spring', 'spring boot', 'java', 'html5', 'apache tomcat', 'css 3']",7,246,0,10,서울,송파구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/25864,웹 풀스택 개발자,spring
9037,개발팀 리드,오엔제이,"['spring', 'java', 'MySQL', 'Redis', 'react', 'typescript', 'aws', 'Spring Data JPA']",15,1337,10,20,서울,강남구,70,2024-06-02 20:33:46.894216,https://www.jumpit.co.kr/position/15716,개발 PM,spring
9275,통합 보안 솔루션 개발자 채용,SGA솔루션즈,"['spring', 'spring boot', 'java', 'html5', 'apache tomcat', 'css 3']",7,246,0,10,서울,송파구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/25864,SW/솔루션,spring
15495,PHP 개발자,휴먼이즈,"['html5', 'php', 'mysql', 'jquery', 'css 3']",55,2104,0,5,서울,용산구,70,2024-06-02 20:32:58.225423,https://www.jumpit.co.kr/position/15530,웹 풀스택 개발자,jquery
18640,시스템 개발자,피닉스다트,"['c++', 'c', 'sw', 'linux']",0,56,5,10,서울,구로구,70,2024-06-02 20:33:49.072694,https://www.jumpit.co.kr/position/24253,devops/시스템 엔지니어,sw
18845,Product Engineering,디에이아이오,"['qa', 'fw', 'sw', 'embedded', 'hw']",4,522,3,20,경기,성남시,70,2024-06-02 20:34:43.512308,https://www.jumpit.co.kr/position/15082,QA 엔지니어,sw
19054,Product Engineering,디에이아이오,"['qa', 'fw', 'sw', 'embedded', 'hw']",4,522,3,20,경기,성남시,70,2024-06-02 20:34:43.512308,https://www.jumpit.co.kr/position/15082,HW/임베디드,sw
19061,펌웨어(Firmware) 임베디드 개발자(경력),디에이아이오,"['fw', 'c++', 'c', 'sw', 'embedded']",3,568,2,20,경기,성남시,70,2024-06-02 20:34:45.782798,https://www.jumpit.co.kr/position/15074,HW/임베디드,sw
19152,SW 엔지니어 모집,에이플러스소프트,['sw'],2,644,0,7,서울,영등포구,70,2024-06-02 20:33:17.705821,https://www.jumpit.co.kr/position/15537,SW/솔루션,sw
19211,[전문연구요원가능] System Software Engineer,모빌린트,"['C++', 'C', 'Linux', 'sw', 'Embedded']",7,753,5,20,서울,강남구,70,2024-06-02 20:33:45.821192,https://www.jumpit.co.kr/position/15166,SW/솔루션,sw
19216,시스템 개발자,피닉스다트,"['c++', 'c', 'sw', 'linux']",0,56,5,10,서울,구로구,70,2024-06-02 20:33:49.072694,https://www.jumpit.co.kr/position/24253,SW/솔루션,sw
19242,머신 비전 S/W 개발자 경력 채용,한국기능공사,"['c#', 'c++', 'sw']",7,741,1,10,충북,음성군,70,2024-06-02 20:33:56.702314,https://www.jumpit.co.kr/position/15516,SW/솔루션,sw
19267,LabVIEW 프로그램 개발자 (경력),에이스웍스코리아,"['C#', 'labview', 'sw']",0,32,2,7,서울,강남구,70,2024-06-02 20:34:05.411465,https://www.jumpit.co.kr/position/24357,SW/솔루션,sw
19290,LabVIEW 프로그램 개발자 (경력),에이스웍스코리아,"['C#', 'labview', 'sw']",0,33,2,7,서울,강남구,70,2024-06-02 20:34:10.809242,https://www.jumpit.co.kr/position/24368,SW/솔루션,sw
19441,펌웨어(Firmware) 임베디드 개발자(경력),디에이아이오,"['fw', 'c++', 'c', 'sw', 'embedded']",3,568,2,20,경기,성남시,70,2024-06-02 20:34:45.782798,https://www.jumpit.co.kr/position/15074,SW/솔루션,sw
19505,기업부설연구소 Linux & Yocto 개발,에스디티,"['sw', 'linux']",0,221,3,10,서울,강남구,70,2024-06-02 20:34:58.876814,https://www.jumpit.co.kr/position/14492,SW/솔루션,sw
19607,SW 엔지니어 모집,에이플러스소프트,['sw'],2,644,0,7,서울,영등포구,70,2024-06-02 20:33:17.705821,https://www.jumpit.co.kr/position/15537,기술지원,sw
22066,[스패로우] 웹 취약점 분석 컨설턴트,파수,"['html5', 'jsp', 'linux', 'windows', 'javascript', 'css 3']",4,359,3,10,서울,마포구,70,2024-06-02 20:33:11.228925,https://www.jumpit.co.kr/position/15191,기술지원,jsp
27532,프론트엔드 웹개발자 경력직 채용,캐럿글로벌,"['html5', 'vue.js', 'angularjs', 'javascript', 'css 3']",256,9112,1,8,서울,서초구,70,2024-06-02 20:32:48.499489,https://www.jumpit.co.kr/position/15124,프론트엔드 개발자,css 3
27797,웹 풀스택 개발자 경력사원 모집,호들,"['node.js', 'next.js', 'html5', 'react', 'mysql', 'typescript', 'graphql', 'aws', 'css 3']",15,1652,3,8,서울,강남구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/15198,웹 풀스택 개발자,css 3
27798,통합 보안 솔루션 개발자 채용,SGA솔루션즈,"['spring', 'spring boot', 'java', 'html5', 'apache tomcat', 'css 3']",7,246,0,10,서울,송파구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/25864,웹 풀스택 개발자,css 3
27800,PHP 개발자,휴먼이즈,"['html5', 'php', 'mysql', 'jquery', 'css 3']",55,2104,0,5,서울,용산구,70,2024-06-02 20:32:58.225423,https://www.jumpit.co.kr/position/15530,웹 풀스택 개발자,css 3
28963,통합 보안 솔루션 개발자 채용,SGA솔루션즈,"['spring', 'spring boot', 'java', 'html5', 'apache tomcat', 'css 3']",7,246,0,10,서울,송파구,70,2024-06-02 20:32:57.136247,https://www.jumpit.co.kr/position/25864,SW/솔루션,css 3
29449,[스패로우] 웹 취약점 분석 컨설턴트,파수,"['html5', 'jsp', 'linux', 'windows', 'javascript', 'css 3']",4,359,3,10,서울,마포구,70,2024-06-02 20:33:11.228925,https://www.jumpit.co.kr/position/15191,기술지원,css 3
33178,양자컴퓨팅 연구원(신입 및 경력),노르마,"['python', 'C++', 'C', 'ai/인공지능', 'linux', 'pytorch', 'machinelearning']",19,1057,0,10,서울,성동구,70,2024-06-02 20:33:05.836896,https://www.jumpit.co.kr/position/18164,인공지능/머신러닝,linux
33406,시스템 개발자,피닉스다트,"['c++', 'c', 'sw', 'linux']",0,56,5,10,서울,구로구,70,2024-06-02 20:33:49.072694,https://www.jumpit.co.kr/position/24253,devops/시스템 엔지니어,linux
