,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,URL,카테고리,기술스택
162570,통합보안관리 엔지니어(신입),이너버스,"['SW', 'Linux', 'Docker', 'Elasticsearch', 'Kafka', 'Python', 'vmware', 'Shell']",,63,0,0,서울,영등포구,50,2025-08-13 00:40:14.692491,https://www.jumpit.co.kr/position/51487046,빅데이터 엔지니어,vmware
162620,통합보안관리 엔지니어(경력),이너버스,"['SW', 'Linux', 'Docker', 'Elasticsearch', 'Kafka', 'Python', 'vmware', 'Shell']",,15,3,7,서울,영등포구,50,2025-08-13 00:41:15.191707,https://www.jumpit.co.kr/position/51487081,빅데이터 엔지니어,vmware
162827,클라우드 서버 네트워크,이지케어텍,"['AWS', 'AZURE', 'GCP', 'Linux', 'Windows', 'vmware', 'Kubernetes', 'Prometheus', 'Grafana', 'Azure DevOps']",4.0,88,1,18,서울,중구,50,2025-08-13 00:39:58.705653,https://www.jumpit.co.kr/position/51375122,devops/시스템 엔지니어,vmware
162851,통합보안관리 엔지니어(신입),이너버스,"['SW', 'Linux', 'Docker', 'Elasticsearch', 'Kafka', 'Python', 'vmware', 'Shell']",,63,0,0,서울,영등포구,50,2025-08-13 00:40:14.692491,https://www.jumpit.co.kr/position/51487046,devops/시스템 엔지니어,vmware
162873,시스템 엔지니어 채용_신입,가야데이터,"['Windows Server', 'VMware vSphere', 'Linux', 'Microsoft SQL Server', 'Oracle', 'WordPress', 'vmware']",,96,0,0,경남,,50,2025-08-13 00:40:29.529664,https://www.jumpit.co.kr/position/51351236,devops/시스템 엔지니어,vmware
162911,Playce Cloud Pre-Sales,오픈소스컨설팅,"['OpenStack', 'Kubernetes', 'Jenkins', 'GitLab', 'Argo', 'AWS', 'AZURE', 'GCP', 'vmware', 'Red Hat OpenShift']",,28,7,20,서울,강남구,50,2025-08-13 00:40:51.227780,https://www.jumpit.co.kr/position/51494830,devops/시스템 엔지니어,vmware
162957,통합보안관리 엔지니어(경력),이너버스,"['SW', 'Linux', 'Docker', 'Elasticsearch', 'Kafka', 'Python', 'vmware', 'Shell']",,15,3,7,서울,영등포구,50,2025-08-13 00:41:15.191707,https://www.jumpit.co.kr/position/51487081,devops/시스템 엔지니어,vmware
162970,시스템 엔지니어 채용_1~3년,가야데이터,"['Windows Server', 'VMware vSphere', 'Linux', 'Microsoft SQL Server', 'Oracle', 'WordPress', 'vmware']",1.0,39,1,3,경남,,50,2025-08-13 00:41:19.768507,https://www.jumpit.co.kr/position/51351205,devops/시스템 엔지니어,vmware
163001,통합보안관리 엔지니어(신입),이너버스,"['SW', 'Linux', 'Docker', 'Elasticsearch', 'Kafka', 'Python', 'vmware', 'Shell']",,63,0,0,서울,영등포구,50,2025-08-13 00:40:14.692491,https://www.jumpit.co.kr/position/51487046,정보보안 담당자,vmware
163036,통합보안관리 엔지니어(경력),이너버스,"['SW', 'Linux', 'Docker', 'Elasticsearch', 'Kafka', 'Python', 'vmware', 'Shell']",,15,3,7,서울,영등포구,50,2025-08-13 00:41:15.191707,https://www.jumpit.co.kr/position/51487081,정보보안 담당자,vmware
163718,통합보안관리 엔지니어(신입),이너버스,"['SW', 'Linux', 'Docker', 'Elasticsearch', 'Kafka', 'Python', 'vmware', 'Shell']",,63,0,0,서울,영등포구,50,2025-08-13 00:40:14.692491,https://www.jumpit.co.kr/position/51487046,기술지원,vmware
163732,시스템 엔지니어 채용_신입,가야데이터,"['Windows Server', 'VMware vSphere', 'Linux', 'Microsoft SQL Server', 'Oracle', 'WordPress', 'vmware']",,96,0,0,경남,,50,2025-08-13 00:40:29.529664,https://www.jumpit.co.kr/position/51351236,기술지원,vmware
163755,Playce Cloud Pre-Sales,오픈소스컨설팅,"['OpenStack', 'Kubernetes', 'Jenkins', 'GitLab', 'Argo', 'AWS', 'AZURE', 'GCP', 'vmware', 'Red Hat OpenShift']",,28,7,20,서울,강남구,50,2025-08-13 00:40:51.227780,https://www.jumpit.co.kr/position/51494830,기술지원,vmware
163781,통합보안관리 엔지니어(경력),이너버스,"['SW', 'Linux', 'Docker', 'Elasticsearch', 'Kafka', 'Python', 'vmware', 'Shell']",,15,3,7,서울,영등포구,50,2025-08-13 00:41:15.191707,https://www.jumpit.co.kr/position/51487081,기술지원,vmware
163786,시스템 엔지니어 채용_1~3년,가야데이터,"['Windows Server', 'VMware vSphere', 'Linux', 'Microsoft SQL Server', 'Oracle', 'WordPress', 'vmware']",1.0,39,1,3,경남,,50,2025-08-13 00:41:19.768507,https://www.jumpit.co.kr/position/51351205,기술지원,vmware
209771,프론트엔드 개발자_5년 이상,펫박스,"['React', 'REST API', 'HTML5', 'React Native', 'Vue.js', 'axios', 'CSS 3']",4.0,145,5,7,서울,마포구,50,2025-08-13 00:40:00.977552,https://www.jumpit.co.kr/position/51315863,프론트엔드 개발자,axios
209815,프론트엔드 개발자_8년 이상,펫박스,"['React', 'REST API', 'HTML5', 'React Native', 'Vue.js', 'axios', 'CSS 3']",1.0,88,8,10,서울,마포구,50,2025-08-13 00:40:19.245254,https://www.jumpit.co.kr/position/51315899,프론트엔드 개발자,axios
211109,프론트엔드 개발자_5년 이상,펫박스,"['React', 'REST API', 'HTML5', 'React Native', 'Vue.js', 'axios', 'CSS 3']",4.0,145,5,7,서울,마포구,50,2025-08-13 00:40:00.977552,https://www.jumpit.co.kr/position/51315863,웹퍼블리셔,axios
211114,프론트엔드 개발자_8년 이상,펫박스,"['React', 'REST API', 'HTML5', 'React Native', 'Vue.js', 'axios', 'CSS 3']",1.0,88,8,10,서울,마포구,50,2025-08-13 00:40:19.245254,https://www.jumpit.co.kr/position/51315899,웹퍼블리셔,axios
255713,Frontend Engineer (Next.js - Typescript),센트비,"['Next.js', 'TypeScript', 'Storybook', 'React', 'CSS Modules', 'Tailwind CSS', 'Jotai', 'pnpm']",5.0,202,5,13,서울,영등포구,50,2025-08-13 00:40:04.378737,https://www.jumpit.co.kr/position/51338305,프론트엔드 개발자,pnpm
255755,웹 프론트엔드 개발자(React 4년 이상),라라잡,"['React Native', 'JavaScript', 'TypeScript', 'Next.js', 'React Query', 'Zustand', 'AWS', 'Yarn', 'pnpm', 'React']",1.0,33,4,15,서울,강서구,50,2025-08-13 00:40:22.701363,https://www.jumpit.co.kr/position/51502200,프론트엔드 개발자,pnpm
332559,AI Engineer (전문연구요원),에이엠스퀘어,"['Python', 'TensorFlow', 'PyTorch', 'NumPy', 'Docker', 'scikit-learn', 'MachineLearning', 'AI/인공지능']",,52,1,5,경북,포항시,50,2025-08-13 00:41:11.760360,https://www.jumpit.co.kr/position/51445016,빅데이터 엔지니어,scikit-learn
332597,머신러닝 개발자,아이트럭,"['scikit-learn', 'BigData', 'MachineLearning', 'Python', 'Keras', 'NumPy', 'Pandas']",,61,5,10,서울,서초구,50,2025-08-13 00:40:10.051252,https://www.jumpit.co.kr/position/51321884,인공지능/머신러닝,scikit-learn
332688,AI Engineer(Field Engineer),에이엠스퀘어,"['Python', 'TensorFlow', 'PyTorch', 'NumPy', 'Docker', 'scikit-learn', 'MachineLearning', 'AI/인공지능']",1.0,54,1,5,경북,포항시,50,2025-08-13 00:40:55.802355,https://www.jumpit.co.kr/position/51419032,인공지능/머신러닝,scikit-learn
332726,AI Engineer (전문연구요원),에이엠스퀘어,"['Python', 'TensorFlow', 'PyTorch', 'NumPy', 'Docker', 'scikit-learn', 'MachineLearning', 'AI/인공지능']",,52,1,5,경북,포항시,50,2025-08-13 00:41:11.760360,https://www.jumpit.co.kr/position/51445016,인공지능/머신러닝,scikit-learn
332762,AI/ML 엔지니어 경력 채용,액스비스,"['Python', 'JavaScript', 'Django', 'AI/인공지능', 'MachineLearning', 'REST API', 'SQL', 'scikit-learn', 'Flask', 'FastAPI']",,12,3,15,대전,유성구,50,2025-08-13 00:41:31.125960,https://www.jumpit.co.kr/position/51528706,인공지능/머신러닝,scikit-learn
433360,[제로아이즈]개발팀 Lead_경력3~9년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,70,3,9,부산,해운대구,50,2025-08-13 00:40:28.404338,https://www.jumpit.co.kr/position/51447306,프론트엔드 개발자,notion.so
433385,[제로아이즈]개발팀 Lead_경력13~15년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,51,13,15,부산,해운대구,50,2025-08-13 00:40:47.809317,https://www.jumpit.co.kr/position/51447346,프론트엔드 개발자,notion.so
433400,[제로아이즈]개발팀 Lead_경력10~12년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,32,10,12,부산,해운대구,50,2025-08-13 00:41:07.203154,https://www.jumpit.co.kr/position/51447276,프론트엔드 개발자,notion.so
433401,[제로아이즈]개발팀 Lead_경력10~12년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,32,10,12,부산,해운대구,50,2025-08-13 00:41:08.337336,https://www.jumpit.co.kr/position/51447276,프론트엔드 개발자,notion.so
433441,[제로아이즈]개발팀 Lead_경력3~9년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,70,3,9,부산,해운대구,50,2025-08-13 00:40:28.404338,https://www.jumpit.co.kr/position/51447306,웹 풀스택 개발자,notion.so
433452,[제로아이즈] PM/기획 매니저,오래,"['Figma', 'Slack', 'Asana', 'notion.so']",,25,7,10,부산,해운대구,50,2025-08-13 00:40:39.858235,https://www.jumpit.co.kr/position/51447367,웹 풀스택 개발자,notion.so
433458,[제로아이즈]개발팀 Lead_경력13~15년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,51,13,15,부산,해운대구,50,2025-08-13 00:40:47.809317,https://www.jumpit.co.kr/position/51447346,웹 풀스택 개발자,notion.so
433468,[제로아이즈]개발팀 Lead_경력10~12년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,32,10,12,부산,해운대구,50,2025-08-13 00:41:07.203154,https://www.jumpit.co.kr/position/51447276,웹 풀스택 개발자,notion.so
433469,[제로아이즈]개발팀 Lead_경력10~12년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,32,10,12,부산,해운대구,50,2025-08-13 00:41:08.337336,https://www.jumpit.co.kr/position/51447276,웹 풀스택 개발자,notion.so
433857,[제로아이즈]개발팀 Lead_경력3~9년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,70,3,9,부산,해운대구,50,2025-08-13 00:40:28.404338,https://www.jumpit.co.kr/position/51447306,devops/시스템 엔지니어,notion.so
433891,[제로아이즈]개발팀 Lead_경력13~15년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,51,13,15,부산,해운대구,50,2025-08-13 00:40:47.809317,https://www.jumpit.co.kr/position/51447346,devops/시스템 엔지니어,notion.so
434059,[제로아이즈]개발팀 Lead_경력3~9년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,70,3,9,부산,해운대구,50,2025-08-13 00:40:28.404338,https://www.jumpit.co.kr/position/51447306,개발 PM,notion.so
434070,[제로아이즈] PM/기획 매니저,오래,"['Figma', 'Slack', 'Asana', 'notion.so']",,25,7,10,부산,해운대구,50,2025-08-13 00:40:39.858235,https://www.jumpit.co.kr/position/51447367,개발 PM,notion.so
434075,[제로아이즈]개발팀 Lead_경력13~15년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,51,13,15,부산,해운대구,50,2025-08-13 00:40:47.809317,https://www.jumpit.co.kr/position/51447346,개발 PM,notion.so
434084,[제로아이즈]개발팀 Lead_경력10~12년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,32,10,12,부산,해운대구,50,2025-08-13 00:41:07.203154,https://www.jumpit.co.kr/position/51447276,개발 PM,notion.so
434085,[제로아이즈]개발팀 Lead_경력10~12년,오래,"['Vue.js', 'TypeScript', 'Node.js', 'ExpressJS', 'MySQL', 'AWS', 'Docker', 'GitHub', 'Slack', 'notion.so']",,32,10,12,부산,해운대구,50,2025-08-13 00:41:08.337336,https://www.jumpit.co.kr/position/51447276,개발 PM,notion.so
456335,프론트엔드 개발자 (3년 ~ 7년),데이터메이커,"['JavaScript', 'ES6', 'Rust', 'three.js', 'Nuxt.js', 'TailwindCSS', 'Vue.js', 'GitHub']",2.0,47,3,7,대전,유성구,50,2025-08-13 00:40:34.168549,https://www.jumpit.co.kr/position/51431380,프론트엔드 개발자,three.js
456371,프론트엔드 개발자 (12년 ~ 15년),데이터메이커,"['JavaScript', 'ES6', 'Rust', 'three.js', 'Nuxt.js', 'TailwindCSS', 'Vue.js', 'GitHub']",1.0,35,12,15,대전,유성구,50,2025-08-13 00:41:14.038437,https://www.jumpit.co.kr/position/51431396,프론트엔드 개발자,three.js
457709,[VIVAR] WebGL 3D 개발자,플래닝고,"['three.js', 'WebGL', '3D Rendering', 'React', 'JavaScript', 'TypeScript', 'VR', 'AR', 'Blender']",,9,2,10,서울,관악구,50,2025-08-13 00:40:52.354528,https://www.jumpit.co.kr/position/51528077,기술지원,three.js
470624,제어SW 엔지니어,아이브,"['C++', 'Git', 'ethernet', 'TCP/IP', 'PLC', 'MES']",1.0,62,1,5,서울,서초구,50,2025-08-13 00:40:39.858235,https://www.jumpit.co.kr/position/51362839,devops/시스템 엔지니어,ethernet
470935,"전기,전자 하드웨어 설계 경력",설텍,"['Pads', 'PCB', 'Autocad', 'Solidworks', 'Fusion 360', 'ethernet', 'Orcad', 'MATLAB']",,46,7,20,대구,달서구,50,2025-08-13 00:41:01.476198,https://www.jumpit.co.kr/position/51373525,HW/임베디드,ethernet
470938,Design Verification Engineer/분당R&D,아이디어스투실리콘,"['TCP/IP', 'ASIC', 'Verilog', 'Perl', 'FPGA', 'ethernet', 'Linux', 'Git', 'C']",,21,5,20,경기,성남시,50,2025-08-13 00:41:01.476198,https://www.jumpit.co.kr/position/51486430,HW/임베디드,ethernet
