,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,카테고리,기술스택
1112804,Back-end Developer (Cloud Monitoring Platform),오케스트로,"['Java', 'Spring Boot', 'Spring Cloud', 'Spring Data JPA', 'QueryDSL', 'Mybatis', 'Elasticsearch', 'Kafka Streams', 'Redis']",2,136,5,15,서울,영등포구,70,2024-01-02 00:11:18.036389,서버/백엔드 개발자,Spring Data JPA
1112816,[야나두(야핏무브)] 백엔드 개발 (11년 이상~),야나두,"['Java', 'Kotlin', 'Spring', 'Node.js', 'MSA', 'Spring Data JPA', 'TypeORM']",5,270,11,15,서울,강남구,70,2024-01-02 00:11:22.626660,서버/백엔드 개발자,Spring Data JPA
1112858,Java/Spring 서버 개발자(10년 이상),에스앤피랩,"['Java', 'Spring', 'Spring Data JPA', 'MySQL', 'Elasticsearch', 'WSL', 'AWS', 'Visual Studio Code']",8,497,10,15,서울,서초구,70,2024-01-02 00:11:37.390563,서버/백엔드 개발자,Spring Data JPA
1112919,Java/Spring 서버 개발자(5년 이상),에스앤피랩,"['Java', 'Spring', 'Spring Data JPA', 'MySQL', 'Elasticsearch', 'WSL', 'AWS', 'Visual Studio Code']",0,314,5,10,서울,서초구,70,2024-01-02 00:12:05.804623,서버/백엔드 개발자,Spring Data JPA
1113071,웹 개발자 (10년 이상),무하유,"['Java', 'Spring Boot', 'Spring Data JPA', 'QueryDSL', 'MySQL', 'Amazon S3', 'Amazon SQS', 'Kafka', 'Git', 'AI/인공지능']",7,295,10,20,서울,성동구,70,2024-01-02 00:10:16.575355,프론트엔드 개발자,Spring Data JPA
1113154,프론트엔드 개발자 (2년이상),유나엔코스,"['AWS', 'iOS', 'MySQL', 'SQL', 'Spring Data JPA', 'React Native', 'React', 'TypeScript', 'Svelte', 'Firebase']",3,148,2,5,경기,하남시,70,2024-01-02 00:10:57.449601,프론트엔드 개발자,Spring Data JPA
1113180,Vue/React 개발자,헥토헬스케어,"['Vue.js', 'React', 'ReactPHP', 'Java', 'JavaScript', 'AWS', 'Spring Cloud', 'Spring', 'Spring Data JPA', 'MySQL']",7,338,5,10,서울,강남구,70,2024-01-02 00:11:10.064599,프론트엔드 개발자,Spring Data JPA
1113295,JAVA 개발자,헥토헬스케어,"['Java', 'AWS', 'Spring Cloud', 'Spring', 'MySQL', 'React', 'Vue.js', 'JSP', 'jQuery', 'Spring Data JPA']",15,608,10,20,서울,강남구,70,2024-01-02 00:09:56.046506,웹 풀스택 개발자,Spring Data JPA
1113318,Full Stack Developer (MSA),오케스트로,"['Java', 'Spring Boot', 'JavaScript', 'Vue.js', 'Spring Data JPA', 'Linux', 'MSA']",5,249,1,10,서울,영등포구,70,2024-01-02 00:10:05.126385,웹 풀스택 개발자,Spring Data JPA
1113328,웹 풀스택 경력 개발자 채용(3년 이상),그릿스탠다드,"['Java', 'Spring Data JPA', 'Python', 'FastAPI', 'AWS', 'Vue.js', 'TypeScript', 'ES6']",48,2643,3,10,서울,성동구,70,2024-01-02 00:10:09.743344,웹 풀스택 개발자,Spring Data JPA
1113347,VAN기반 PG시스템 신규 구축 개발자 모집,하이데브,"['Java', 'MariaDB', 'Oracle', 'Spring', 'JSP', 'Mybatis', 'Spring Data JPA', 'SQL', 'JavaScript']",7,683,1,25,부산,부산진구,70,2024-01-02 00:10:26.802624,웹 풀스택 개발자,Spring Data JPA
1113349,"프론트/백엔드 개발자, AWS서버관리자",디에이치엔,"['Java', 'Spring Framework', 'Spring Data JPA', 'TypeScript', 'React', 'Next.js', 'AWS']",3,393,3,5,대구,중구,70,2024-01-02 00:10:29.051722,웹 풀스택 개발자,Spring Data JPA
1113379,프론트엔드 개발자 (2년이상),유나엔코스,"['AWS', 'iOS', 'MySQL', 'SQL', 'Spring Data JPA', 'React Native', 'React', 'TypeScript', 'Svelte', 'Firebase']",3,148,2,5,경기,하남시,70,2024-01-02 00:10:57.449601,웹 풀스택 개발자,Spring Data JPA
1113380,영어 가능 개발 PM,디에이치엔,"['Java', 'Spring Framework', 'Spring Data JPA', 'TypeScript', 'React', 'Next.js', 'AWS']",2,124,5,10,대구,중구,70,2024-01-02 00:10:59.733522,웹 풀스택 개발자,Spring Data JPA
1113382,플랫폼 백엔드 개발자,올라운드닥터스,"['Java', 'Kotlin', 'Spring Framework', 'REST API', 'Spring Data JPA', 'MySQL', 'RabbitMQ', 'Redis']",2,131,5,10,경기,성남시,70,2024-01-02 00:10:59.733522,웹 풀스택 개발자,Spring Data JPA
1113399,[자연이랑] 쇼핑몰 웹 개발 및 운영(경력),행복에프앤씨,"['Java', 'Spring', 'jQuery', 'MSSQL', 'PostgreSQL', 'Git', 'Mybatis', 'Spring Data JPA', 'AZURE']",7,433,7,16,서울,강서구,70,2024-01-02 00:11:11.219426,웹 풀스택 개발자,Spring Data JPA
