,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,카테고리,기술스택
293,"백엔드 개발자 Backend Developer (API 개발, 3년이상)",스윗코리아,"['mysql', 'rest api', 'python', 'fastapi']",24,598,3,15,서울,강남구,70,2024-01-02 00:10:46.033849,서버/백엔드 개발자,python
347,[쿡앱스] 기술지원팀 서버 프로그래머 (3년이상),쿡앱스,"['typescript', 'python', 'mysql', 'postgresql', 'redis', 'AWS']",44,1549,3,15,경기,성남시,70,2024-01-02 00:11:03.123549,서버/백엔드 개발자,python
360,[에너지IT기업 해줌]빌링(정산) 개발,해줌,"['python', 'django', 'postgresql', 'oracle', 'mariadb', 'mysql', 'linux', 'erp']",21,1003,2,20,서울,송파구,70,2024-01-02 00:11:05.408225,서버/백엔드 개발자,python
474,[SW개발팀] 백엔드 엔지니어,텔레픽스,"['python', 'javascript', 'django', 'fastapi', 'nestjs', 'docker']",11,435,5,10,서울,영등포구,70,2024-01-02 00:11:51.028020,서버/백엔드 개발자,python
477,Backend 개발자 채용 (3년 이상),디앤에스에버,"['Node.js', 'TypeScript', 'MySQL', 'PostgreSQL', 'Linux', 'AWS', 'Docker', 'python', 'SQL', 'Java']",1,21,3,15,서울,강남구,70,2024-01-02 00:11:51.028020,서버/백엔드 개발자,python
876,[병역특례] 풀스택 개발 산업기능요원 모집,넛지헬스케어,"['Node.js', 'REST API', 'AWS', 'Git', 'aws', 'rest api', 'python', 'javascript']",57,1896,0,2,서울,강남구,70,2024-01-02 00:09:50.251522,웹 풀스택 개발자,python
1057,웹 개발자 경력 채용,쿤텍,"['javascript', 'python', 'java', 'db']",5,338,4,10,경기,성남시,70,2024-01-02 00:12:20.472699,웹 풀스택 개발자,python
1398,Data Engineer (Akit),42dot,"['docker', 'kubernetes', 'aws', 'java', 'scala', 'python']",2,558,5,15,서울,강남구,70,2024-01-02 00:11:57.853253,빅데이터 엔지니어,python
1432,양자컴퓨팅 연구원(신입 및 경력),노르마,"['machinelearning', 'ai/인공지능', 'linux', 'python', 'pytorch', 'C', 'C++']",8,445,0,10,서울,성동구,70,2024-01-02 00:10:01.718071,인공지능/머신러닝,python
1433,[병역특례 전문연구요원] AI 엔지니어,테스트웍스,"['ai/인공지능', 'python', 'tensorflow', 'keras', 'pytorch', 'machinelearning', 'opencv']",12,828,0,10,서울,송파구,70,2024-01-02 00:10:02.822456,인공지능/머신러닝,python
1466,웹 크롤링 프로그램 개발자,바틀,"['python', 'java', 'react native']",5,432,3,10,경기,성남시,70,2024-01-02 00:10:38.073816,인공지능/머신러닝,python
1479,[에너지IT기업 해줌] 데이터사이언티스트,해줌,"['python', 'pytorch', 'r', 'tableau', 'ai/인공지능', 'machinelearning']",19,786,3,20,서울,송파구,70,2024-01-02 00:10:48.256130,인공지능/머신러닝,python
1483,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['python', 'spring framework', 'aws', 'c', 'c++', 'git', 'gitlab', 'AI/인공지능']",0,91,4,12,서울,강남구,70,2024-01-02 00:10:50.535586,인공지능/머신러닝,python
1506,Phyton 및 인공지능(AI) 개발자 모집,티오이십일콤즈,"['ai/인공지능', 'rest api', 'python', 'pandas', 'numpy', 'tensorflow', 'pytorch', 'machinelearning']",7,383,5,10,서울,구로구,70,2024-01-02 00:11:16.874262,인공지능/머신러닝,python
1527,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",3,99,4,12,서울,강남구,70,2024-01-02 00:11:30.577183,인공지능/머신러닝,python
1541,AI 엔지니어 모집,퀀타매트릭스,"['c', 'c++', 'numpy', 'r', 'python', 'ai/인공지능', 'sw', 'DeepLearning']",1,53,3,8,서울,금천구,70,2024-01-02 00:11:43.140355,인공지능/머신러닝,python
1556,로봇연구소 물류로봇시스템 인공지능 연구 및 개발 모집(상장사),씨유박스,"['tensorflow', 'pytorch', 'python', 'machinelearning', 'deeplearning', 'ai/인공지능']",3,476,3,20,대전,유성구,70,2024-01-02 00:12:01.261441,인공지능/머신러닝,python
1769,클라우드 인프라보안 담당,스윗코리아,"['amazon eks', 'ips', 'vpn', 'python', 'shell', 'network', 'db', 'kubernetes']",3,259,5,15,서울,강남구,70,2024-01-02 00:11:19.153562,정보보안 담당자,python
1949,[신입] 반도체 회로 설계 개발자 채용,블루닷,"['c', 'c++', 'verilog', 'shell', 'python']",10,724,0,1,서울,강남구,70,2024-01-02 00:10:23.396800,HW/임베디드,python
2105,[경력] 반도체 회로설계 개발자,블루닷,"['c', 'c++', 'verilog', 'shell', 'python']",1,251,3,12,서울,강남구,70,2024-01-02 00:12:23.905169,HW/임베디드,python
2132,RPA 개발자 신입 및 경력사원 모집,그릿스탠다드,"['rpa', 'python', 'java']",22,1354,0,2,서울,성동구,70,2024-01-02 00:09:45.707188,SW/솔루션,python
2213,웹 크롤링 프로그램 개발자,바틀,"['python', 'java', 'react native']",5,432,3,10,경기,성남시,70,2024-01-02 00:10:38.073816,SW/솔루션,python
2245,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['python', 'spring framework', 'aws', 'c', 'c++', 'git', 'gitlab', 'AI/인공지능']",0,91,4,12,서울,강남구,70,2024-01-02 00:10:50.535586,SW/솔루션,python
2362,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",3,99,4,12,서울,강남구,70,2024-01-02 00:11:30.577183,SW/솔루션,python
2409,AI 엔지니어 모집,퀀타매트릭스,"['c', 'c++', 'numpy', 'r', 'python', 'ai/인공지능', 'sw', 'DeepLearning']",1,53,3,8,서울,금천구,70,2024-01-02 00:11:43.140355,SW/솔루션,python
2440,보안 SW 개발자 신입 채용,쿤텍,"['python', 'linux', 'windows', 'network', 'sw']",20,383,0,1,경기,성남시,70,2024-01-02 00:11:51.028020,SW/솔루션,python
2528,시스템프로그래머_정적분석팀,슈어소프트테크,"['SW', 'C', 'C++', 'python', 'java', 'f#', 'c#']",4,584,3,8,경기,성남시,70,2024-01-02 00:12:11.403249,SW/솔루션,python
2684,Backend 개발자 채용 (3년 이상),디앤에스에버,"['Node.js', 'TypeScript', 'MySQL', 'PostgreSQL', 'Linux', 'AWS', 'Docker', 'python', 'SQL', 'Java']",1,21,3,15,서울,강남구,70,2024-01-02 00:11:51.028020,블록체인,python
2795,[Java/Spring] 백엔드 개발자(신규 웹소설 플랫폼),미스터블루,"['java', 'spring boot', 'spring data jpa', 'mariadb', 'redis', 'mongodb', 'aws', 'git', 'docker', 'nosql']",222,6141,2,8,서울,강서구,70,2024-01-02 00:09:39.036281,서버/백엔드 개발자,java
2804,웹 서버 개발자(JAVA & Spring Framework),페르미,"['java', 'rdb', 'Spring Framework', 'MariaDB', 'Oracle', 'WebRTC', 'Java', 'Redis', 'AWS', 'AZURE']",64,3987,2,20,서울,강남구,70,2024-01-02 00:09:41.252410,서버/백엔드 개발자,java
2874,[Platform]Java Backend Server Engineer,앤서스랩코리아,"['java', 'rest api', 'aws', 'spring framework', 'mysql']",8,439,5,13,서울,강남구,70,2024-01-02 00:09:54.854179,서버/백엔드 개발자,java
2888,백엔드 개발자 채용(본사),비엠텍시스템,"['java', 'spring framework', 'spring boot', 'rest api']",74,2536,2,5,서울,송파구,70,2024-01-02 00:09:57.205315,서버/백엔드 개발자,java
3013,플랫폼 개발자 모집,비트코퍼레이션,"['Python', 'TypeScript', 'AWS', 'java', 'MSA']",7,203,4,7,경기,성남시,70,2024-01-02 00:10:30.220033,서버/백엔드 개발자,java
3037,서버 개발자(경력 5년 이상),노르마,"['node.js', 'java', 'aws', 'linux', 'network']",0,95,5,10,서울,성동구,70,2024-01-02 00:10:35.850813,서버/백엔드 개발자,java
3059,Security Engineer - 차량 보안 Backend 개발,42dot,"['go', 'java', 'mongodb', 'postgresql', 'elasticsearch', 'redis', 'kafka']",15,806,5,15,서울,강남구,70,2024-01-02 00:10:40.375929,서버/백엔드 개발자,java
3179,시니어 백엔드 개발자,오엔제이,"['java', 'spring', 'amazon ec2', 'Redis', 'MySQL', 'Git']",2,151,5,10,서울,강남구,70,2024-01-02 00:11:18.036389,서버/백엔드 개발자,java
3208,Backend Engineer (In Vehicle Infotainment App Store),42dot,"['rest api', 'java', 'aws', 'spring boot', 'k8s', 'sql', 'nosql']",13,750,5,15,서울,강남구,70,2024-01-02 00:11:29.455575,서버/백엔드 개발자,java
3243,Back-end Developer,코그넷나인,"['java', 'node.js', 'spring boot', 'nginx', 'msa', 'querydsl', 'go', 'spring framework']",6,387,10,15,서울,서초구,70,2024-01-02 00:11:41.976717,서버/백엔드 개발자,java
3335,백엔드 개발자 채용(보령),비엠텍시스템,"['java', 'spring framework', 'spring boot', 'rest api']",1,462,4,8,충남,보령시,70,2024-01-02 00:12:27.296797,서버/백엔드 개발자,java
3541,프론트엔드 개발자 채용,비엠텍시스템,"['java', 'javascript', 'html5', 'css 3', 'angularjs']",18,1096,2,5,서울,송파구,70,2024-01-02 00:11:02.013623,프론트엔드 개발자,java
3667,개발자(프론트엔드/JAVA/Spring),쥬비스다이어트,"['java', 'javascript', 'Spring']",3,664,2,5,서울,강남구,70,2024-01-02 00:09:53.692668,웹 풀스택 개발자,java
3685,다담몰 이커머스 웹 풀스택 개발자,다담리테일,"['asp.net', 'java', 'sql', 'html5', 'css 3', 'rest api', 'javascript']",2,81,3,10,서울,송파구,70,2024-01-02 00:10:01.718071,웹 풀스택 개발자,java
3686,"여행 IT 개발(JAVA, Spring)자 채용",틱스잇,"['java', 'react', 'vue.js', 'Spring', 'Spring Framework', 'Git', 'Jira', 'Linux', 'AWS']",30,3772,2,10,서울,성동구,70,2024-01-02 00:10:01.718071,웹 풀스택 개발자,java
3739,솔루션 및 웹 개발자 모집(java/jsp),티오이십일콤즈,"['sw', 'java', 'jsp', 'rest api', 'react', 'jquery', 'javascript', 'mysql', 'oracle']",2,482,5,10,서울,구로구,70,2024-01-02 00:10:42.605529,웹 풀스택 개발자,java
3816,"Architect, PL(고급)",코그넷나인,"['java', 'msa', 'network']",1,166,9,15,서울,서초구,70,2024-01-02 00:11:43.140355,웹 풀스택 개발자,java
3845,웹 개발자 경력 채용,쿤텍,"['javascript', 'python', 'java', 'db']",5,338,4,10,경기,성남시,70,2024-01-02 00:12:20.472699,웹 풀스택 개발자,java
3912,IVI OS(Android Framework/AOSP) Engineer,42dot,"['android os', 'c++', 'java', 'kotlin', 'linux', 'network', 'embedded']",1,565,5,15,서울,강남구,70,2024-01-02 00:11:21.469096,안드로이드 개발자,java
3925,안드로이드 및 iOS 기반 디바이스 애플리케이션 개발,엑스퍼트아이엔씨,"['Flutter', 'React Native', 'Android OS', 'iOS', 'java', 'kotlin', 'swift']",1,528,5,10,서울,송파구,70,2024-01-02 00:11:41.976717,안드로이드 개발자,java
4040,안드로이드 및 iOS 기반 디바이스 애플리케이션 개발,엑스퍼트아이엔씨,"['Flutter', 'React Native', 'Android OS', 'iOS', 'java', 'kotlin', 'swift']",1,528,5,10,서울,송파구,70,2024-01-02 00:11:41.976717,크로스플랫폼 앱개발자,java
4186,Data Engineer (Akit),42dot,"['docker', 'kubernetes', 'aws', 'java', 'scala', 'python']",2,558,5,15,서울,강남구,70,2024-01-02 00:11:57.853253,빅데이터 엔지니어,java
4254,웹 크롤링 프로그램 개발자,바틀,"['python', 'java', 'react native']",5,432,3,10,경기,성남시,70,2024-01-02 00:10:38.073816,인공지능/머신러닝,java
4362,패션IT팀  내부시스템(영업관리)_운영 /유지보수 담당자,신성통상,"['miplatform', 'java', 'spring framework', 'oracle', 'jennifer']",6,367,7,12,서울,강동구,70,2024-01-02 00:09:52.534520,devops/시스템 엔지니어,java
4539,Application Architect (고급),코그넷나인,['java'],0,85,8,15,서울,서초구,70,2024-01-02 00:12:27.296797,devops/시스템 엔지니어,java
4675,개발팀 리드,오엔제이,"['java', 'spring', 'aws', 'react', 'typescript', 'Spring Data JPA', 'MySQL', 'Redis']",8,945,10,20,서울,강남구,70,2024-01-02 00:11:12.381593,개발 PM,java
4691,프로젝트 어시스턴트,라라스테이션,"['java', 'microsoft office 365']",6,532,0,10,서울,강남구,70,2024-01-02 00:11:35.165443,개발 PM,java
4696,"Architect, PL(고급)",코그넷나인,"['java', 'msa', 'network']",1,166,9,15,서울,서초구,70,2024-01-02 00:11:43.140355,개발 PM,java
4781,IVI OS(Android Framework/AOSP) Engineer,42dot,"['android os', 'c++', 'java', 'kotlin', 'linux', 'network', 'embedded']",1,565,5,15,서울,강남구,70,2024-01-02 00:11:21.469096,HW/임베디드,java
4920,RPA 개발자 신입 및 경력사원 모집,그릿스탠다드,"['rpa', 'python', 'java']",22,1354,0,2,서울,성동구,70,2024-01-02 00:09:45.707188,SW/솔루션,java
5001,웹 크롤링 프로그램 개발자,바틀,"['python', 'java', 'react native']",5,432,3,10,경기,성남시,70,2024-01-02 00:10:38.073816,SW/솔루션,java
5014,솔루션 및 웹 개발자 모집(java/jsp),티오이십일콤즈,"['sw', 'java', 'jsp', 'rest api', 'react', 'jquery', 'javascript', 'mysql', 'oracle']",2,482,5,10,서울,구로구,70,2024-01-02 00:10:42.605529,SW/솔루션,java
5316,시스템프로그래머_정적분석팀,슈어소프트테크,"['SW', 'C', 'C++', 'python', 'java', 'f#', 'c#']",4,584,3,8,경기,성남시,70,2024-01-02 00:12:11.403249,SW/솔루션,java
6669,하이브리드 어플 풀스택 개발,다담리테일,"['asp.net', 'ios', 'android os', 'xcode', 'android studio', 'android sdk', 'swift', 'kotlin']",0,85,2,10,서울,송파구,70,2024-01-02 00:10:36.967121,안드로이드 개발자,kotlin
6700,IVI OS(Android Framework/AOSP) Engineer,42dot,"['android os', 'c++', 'java', 'kotlin', 'linux', 'network', 'embedded']",1,565,5,15,서울,강남구,70,2024-01-02 00:11:21.469096,안드로이드 개발자,kotlin
6713,안드로이드 및 iOS 기반 디바이스 애플리케이션 개발,엑스퍼트아이엔씨,"['Flutter', 'React Native', 'Android OS', 'iOS', 'java', 'kotlin', 'swift']",1,528,5,10,서울,송파구,70,2024-01-02 00:11:41.976717,안드로이드 개발자,kotlin
6761,하이브리드 어플 풀스택 개발,다담리테일,"['asp.net', 'ios', 'android os', 'xcode', 'android studio', 'android sdk', 'swift', 'kotlin']",0,85,2,10,서울,송파구,70,2024-01-02 00:10:36.967121,IOS 개발자,kotlin
6828,안드로이드 및 iOS 기반 디바이스 애플리케이션 개발,엑스퍼트아이엔씨,"['Flutter', 'React Native', 'Android OS', 'iOS', 'java', 'kotlin', 'swift']",1,528,5,10,서울,송파구,70,2024-01-02 00:11:41.976717,크로스플랫폼 앱개발자,kotlin
7569,IVI OS(Android Framework/AOSP) Engineer,42dot,"['android os', 'c++', 'java', 'kotlin', 'linux', 'network', 'embedded']",1,565,5,15,서울,강남구,70,2024-01-02 00:11:21.469096,HW/임베디드,kotlin
11543,시니어 백엔드 개발자,오엔제이,"['java', 'spring', 'amazon ec2', 'Redis', 'MySQL', 'Git']",2,151,5,10,서울,강남구,70,2024-01-02 00:11:18.036389,서버/백엔드 개발자,spring
13039,개발팀 리드,오엔제이,"['java', 'spring', 'aws', 'react', 'typescript', 'Spring Data JPA', 'MySQL', 'Redis']",8,945,10,20,서울,강남구,70,2024-01-02 00:11:12.381593,개발 PM,spring
13947,[Java/Spring] 백엔드 개발자(신규 웹소설 플랫폼),미스터블루,"['java', 'spring boot', 'spring data jpa', 'mariadb', 'redis', 'mongodb', 'aws', 'git', 'docker', 'nosql']",222,6141,2,8,서울,강서구,70,2024-01-02 00:09:39.036281,서버/백엔드 개발자,git
14377,클라우드 플랫폼 개발자(3년 이상/삼성전자 프로젝트),아이투맥스,"['Spring', 'MariaDB', 'Svelte', 'Oracle', 'git', 'AWS', 'Linux', 'Jira', 'Slack', 'Spring Boot']",1,90,3,10,경기,용인시,70,2024-01-02 00:11:33.995486,서버/백엔드 개발자,git
14424,Java 개발자(4년 이상),아이투맥스,"['Java', 'SQL', 'javascript', 'mssql', 'mysql', 'git', 'salesforce', 'salesforce sales cloud']",1,89,4,10,경기,용인시,70,2024-01-02 00:11:55.571503,서버/백엔드 개발자,git
14589,프론트엔드 개발자 채용,일성유한책임회사,"['React', 'JavaScript', 'SCSS', 'HTML5', 'rest api', 'git', 'next.js', 'webpack', 'babel']",20,1110,5,15,대구,동구,70,2024-01-02 00:10:13.200304,프론트엔드 개발자,git
15197,React Native 앱개발자 채용,나우코딩랩스,"['react', 'react native', 'git', 'android os', 'ios', 'javascript', 'aws', 'typescript']",4,366,3,25,서울,중구,70,2024-01-02 00:12:04.711432,크로스플랫폼 앱개발자,git
15423,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['python', 'spring framework', 'aws', 'c', 'c++', 'git', 'gitlab', 'AI/인공지능']",0,91,4,12,서울,강남구,70,2024-01-02 00:10:50.535586,인공지능/머신러닝,git
15467,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",3,99,4,12,서울,강남구,70,2024-01-02 00:11:30.577183,인공지능/머신러닝,git
15579,클라우드 엔지니어 Cloud Engineer (3년이상),스윗코리아,"['ips', 'aws waf', 'linux', 'git', 'terraform', 'kubernetes', 'gcp', 'google cloud platform']",5,395,3,15,서울,강남구,70,2024-01-02 00:11:03.123549,devops/시스템 엔지니어,git
15620,클라우드 엔지니어 (팀리더),스윗코리아,"['ips', 'aws waf', 'l2', 'l3', 'l4', 'l7', 'linux', 'git', 'gcp']",1,186,10,15,서울,강남구,70,2024-01-02 00:11:39.676692,devops/시스템 엔지니어,git
16185,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['python', 'spring framework', 'aws', 'c', 'c++', 'git', 'gitlab', 'AI/인공지능']",0,91,4,12,서울,강남구,70,2024-01-02 00:10:50.535586,SW/솔루션,git
16302,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",3,99,4,12,서울,강남구,70,2024-01-02 00:11:30.577183,SW/솔루션,git
19523,[Java/Spring] 백엔드 개발자(신규 웹소설 플랫폼),미스터블루,"['java', 'spring boot', 'spring data jpa', 'mariadb', 'redis', 'mongodb', 'aws', 'git', 'docker', 'nosql']",222,6141,2,8,서울,강서구,70,2024-01-02 00:09:39.036281,서버/백엔드 개발자,docker
19637,디지털 트윈 백엔드 개발,유비씨,"['node.js', 'docker', 'javascript', 'expressjs', 'typescript', 'sequelize', 'postgresql']",13,511,2,20,경기,안양시,70,2024-01-02 00:10:03.944325,서버/백엔드 개발자,docker
19924,백엔드 개발자 채용,일성유한책임회사,"['node.js', 'rest api', 'postgresql', 'typeorm', 'sequelize', 'next.js', 'aws', 'docker', 'swagger ui']",22,1388,5,15,대구,동구,70,2024-01-02 00:11:23.783540,서버/백엔드 개발자,docker
19958,Cloud 기반 플랫폼 개발자 모집,씨온드림,"['C', 'C++', 'Network', 'kubernetes', 'docker', 'golang']",0,101,4,15,경기,성남시,70,2024-01-02 00:11:36.275422,서버/백엔드 개발자,docker
19990,[SW개발팀] 백엔드 엔지니어,텔레픽스,"['python', 'javascript', 'django', 'fastapi', 'nestjs', 'docker']",11,435,5,10,서울,영등포구,70,2024-01-02 00:11:51.028020,서버/백엔드 개발자,docker
20016,[Unstable Treasuries] 백엔드 개발자,오파트너스,"['nosql', 'firebase', 'aws', 'docker', 'node.js', 'rest api']",2,285,3,7,서울,성동구,70,2024-01-02 00:12:01.261441,서버/백엔드 개발자,docker
20366,React 프론트엔드 개발자 모집,이원커뮤니케이션,"['javascript', 'react', 'gitlab', 'docker', 'mariadb']",2,240,4,8,서울,금천구,70,2024-01-02 00:12:18.208245,프론트엔드 개발자,docker
20914,Data Engineer (Akit),42dot,"['docker', 'kubernetes', 'aws', 'java', 'scala', 'python']",2,558,5,15,서울,강남구,70,2024-01-02 00:11:57.853253,빅데이터 엔지니어,docker
22311,[Java/Spring] 백엔드 개발자(신규 웹소설 플랫폼),미스터블루,"['java', 'spring boot', 'spring data jpa', 'mariadb', 'redis', 'mongodb', 'aws', 'git', 'docker', 'nosql']",222,6141,2,8,서울,강서구,70,2024-01-02 00:09:39.036281,서버/백엔드 개발자,aws
22380,[병역특례] 백엔드 개발(Node.js) 산업기능요원 모집,넛지헬스케어,"['Node.js', 'mysql', 'amazon dynamodb', 'postgresql', 'elasticsearch', 'aws']",65,3168,0,3,서울,강남구,70,2024-01-02 00:09:52.534520,서버/백엔드 개발자,aws
22383,백엔드 개발자 담당 채용,인피니티익스체인지코리아,"['spring boot', 'rest api', 'aws', 'mysql', 'redis', 'spring data jpa', 'Spring Data JPA', 'Mybatis']",12,516,3,5,서울,강남구,70,2024-01-02 00:09:53.692668,서버/백엔드 개발자,aws
22390,[Platform]Java Backend Server Engineer,앤서스랩코리아,"['java', 'rest api', 'aws', 'spring framework', 'mysql']",8,439,5,13,서울,강남구,70,2024-01-02 00:09:54.854179,서버/백엔드 개발자,aws
22553,서버 개발자(경력 5년 이상),노르마,"['node.js', 'java', 'aws', 'linux', 'network']",0,95,5,10,서울,성동구,70,2024-01-02 00:10:35.850813,서버/백엔드 개발자,aws
22712,백엔드 개발자 채용,일성유한책임회사,"['node.js', 'rest api', 'postgresql', 'typeorm', 'sequelize', 'next.js', 'aws', 'docker', 'swagger ui']",22,1388,5,15,대구,동구,70,2024-01-02 00:11:23.783540,서버/백엔드 개발자,aws
22724,Backend Engineer (In Vehicle Infotainment App Store),42dot,"['rest api', 'java', 'aws', 'spring boot', 'k8s', 'sql', 'nosql']",13,750,5,15,서울,강남구,70,2024-01-02 00:11:29.455575,서버/백엔드 개발자,aws
22727,Node.js 백엔드 개발자 채용,나우코딩랩스,"['node.js', 'typescript', 'aws', 'amazon ec2', 'mysql']",12,676,4,20,서울,중구,70,2024-01-02 00:11:30.577183,서버/백엔드 개발자,aws
22804,[Unstable Treasuries] 백엔드 개발자,오파트너스,"['nosql', 'firebase', 'aws', 'docker', 'node.js', 'rest api']",2,285,3,7,서울,성동구,70,2024-01-02 00:12:01.261441,서버/백엔드 개발자,aws
23180,[병역특례] 풀스택 개발 산업기능요원 모집,넛지헬스케어,"['Node.js', 'REST API', 'AWS', 'Git', 'aws', 'rest api', 'python', 'javascript']",57,1896,0,2,서울,강남구,70,2024-01-02 00:09:50.251522,웹 풀스택 개발자,aws
23209,웹 풀스택 개발자 경력사원 모집,호들,"['html5', 'css 3', 'typescript', 'react', 'node.js', 'graphql', 'next.js', 'mysql', 'aws']",9,1156,3,8,서울,강남구,70,2024-01-02 00:10:03.944325,웹 풀스택 개발자,aws
23561,React Native 앱개발자 채용,나우코딩랩스,"['react', 'react native', 'git', 'android os', 'ios', 'javascript', 'aws', 'typescript']",4,366,3,25,서울,중구,70,2024-01-02 00:12:04.711432,크로스플랫폼 앱개발자,aws
23670,"DW 아키텍쳐, 컨설턴트,  PL급, Cloud전문가",에스피에이치,"['Dw', 'Dm', 'BigData', 'SQL', 'MachineLearning', 'DeepLearning', 'Python', 'aws', 'gcp', 'google bigquery']",7,547,3,15,서울,마포구,70,2024-01-02 00:10:52.905434,빅데이터 엔지니어,aws
23702,Data Engineer (Akit),42dot,"['docker', 'kubernetes', 'aws', 'java', 'scala', 'python']",2,558,5,15,서울,강남구,70,2024-01-02 00:11:57.853253,빅데이터 엔지니어,aws
23711,데이터 엔지니어 (7년이상),스윗코리아,"['aws', 'gcp', 'azure', 'mysql', 'elasticsearch', 'google cloud bigtable', 'linux']",1,173,7,15,서울,강남구,70,2024-01-02 00:12:15.947990,빅데이터 엔지니어,aws
23787,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['python', 'spring framework', 'aws', 'c', 'c++', 'git', 'gitlab', 'AI/인공지능']",0,91,4,12,서울,강남구,70,2024-01-02 00:10:50.535586,인공지능/머신러닝,aws
23951,데브옵스 엔지니어,올거나이즈코리아,"['linux', 'Docker', 'Django', 'nginx', 'redis', 'GraphQL', 'aws', 'gcp', 'azure']",8,479,3,10,서울,강남구,70,2024-01-02 00:11:10.064599,devops/시스템 엔지니어,aws
24191,개발팀 리드,오엔제이,"['java', 'spring', 'aws', 'react', 'typescript', 'Spring Data JPA', 'MySQL', 'Redis']",8,945,10,20,서울,강남구,70,2024-01-02 00:11:12.381593,개발 PM,aws
24549,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['python', 'spring framework', 'aws', 'c', 'c++', 'git', 'gitlab', 'AI/인공지능']",0,91,4,12,서울,강남구,70,2024-01-02 00:10:50.535586,SW/솔루션,aws
25534,Cloud 기반 플랫폼 개발자 모집,씨온드림,"['C', 'C++', 'Network', 'kubernetes', 'docker', 'golang']",0,101,4,15,경기,성남시,70,2024-01-02 00:11:36.275422,서버/백엔드 개발자,kubernetes
26490,Data Engineer (Akit),42dot,"['docker', 'kubernetes', 'aws', 'java', 'scala', 'python']",2,558,5,15,서울,강남구,70,2024-01-02 00:11:57.853253,빅데이터 엔지니어,kubernetes
26731,클라우드 엔지니어 Cloud Engineer (3년이상),스윗코리아,"['ips', 'aws waf', 'linux', 'git', 'terraform', 'kubernetes', 'gcp', 'google cloud platform']",5,395,3,15,서울,강남구,70,2024-01-02 00:11:03.123549,devops/시스템 엔지니어,kubernetes
26861,클라우드 인프라보안 담당,스윗코리아,"['amazon eks', 'ips', 'vpn', 'python', 'shell', 'network', 'db', 'kubernetes']",3,259,5,15,서울,강남구,70,2024-01-02 00:11:19.153562,정보보안 담당자,kubernetes
28001,디지털 트윈 백엔드 개발,유비씨,"['node.js', 'docker', 'javascript', 'expressjs', 'typescript', 'sequelize', 'postgresql']",13,511,2,20,경기,안양시,70,2024-01-02 00:10:03.944325,서버/백엔드 개발자,javascript
28354,[SW개발팀] 백엔드 엔지니어,텔레픽스,"['python', 'javascript', 'django', 'fastapi', 'nestjs', 'docker']",11,435,5,10,서울,영등포구,70,2024-01-02 00:11:51.028020,서버/백엔드 개발자,javascript
28364,Java 개발자(4년 이상),아이투맥스,"['Java', 'SQL', 'javascript', 'mssql', 'mysql', 'git', 'salesforce', 'salesforce sales cloud']",1,89,4,10,경기,용인시,70,2024-01-02 00:11:55.571503,서버/백엔드 개발자,javascript
28449,프론트엔드 웹개발자 경력직 채용,캐럿글로벌,"['javascript', 'html5', 'css 3', 'vue.js', 'angularjs']",152,5409,1,8,서울,서초구,70,2024-01-02 00:09:42.365476,프론트엔드 개발자,javascript
28510,[쉬운 지원] 프론트엔드 개발자,르네상스랩스,"['typescript', 'react', 'javascript', 'solidity']",38,833,3,10,서울,성동구,70,2024-01-02 00:10:02.822456,프론트엔드 개발자,javascript
28633,프론트엔드 개발자 채용,비엠텍시스템,"['java', 'javascript', 'html5', 'css 3', 'angularjs']",18,1096,2,5,서울,송파구,70,2024-01-02 00:11:02.013623,프론트엔드 개발자,javascript
28652,[Unstable Treasuries] Web3.0 / React 프론트엔드 개발자,오파트너스,"['javascript', 'typescript', 'react', 'css 3', 'html5', 'next.js', 'webpack', 'github']",13,556,3,7,서울,성동구,70,2024-01-02 00:11:13.491025,프론트엔드 개발자,javascript
28721,[SW개발팀] 프론트엔드 엔지니어,텔레픽스,"['html5', 'css 3', 'javascript', 'typescript', 'react', 'styled-components', 'emotion', 'recoil', 'zustand']",3,395,5,10,서울,영등포구,70,2024-01-02 00:12:05.804623,프론트엔드 개발자,javascript
28730,React 프론트엔드 개발자 모집,이원커뮤니케이션,"['javascript', 'react', 'gitlab', 'docker', 'mariadb']",2,240,4,8,서울,금천구,70,2024-01-02 00:12:18.208245,프론트엔드 개발자,javascript
28756,[병역특례] 풀스택 개발 산업기능요원 모집,넛지헬스케어,"['Node.js', 'REST API', 'AWS', 'Git', 'aws', 'rest api', 'python', 'javascript']",57,1896,0,2,서울,강남구,70,2024-01-02 00:09:50.251522,웹 풀스택 개발자,javascript
