,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,URL,카테고리,기술스택
14,[Java/Spring] 백엔드 개발자(신규 웹소설 플랫폼),미스터블루,"['mariadb', 'spring boot', 'spring data jpa', 'java', 'git', 'aws', 'mongodb', 'redis', 'docker', 'nosql']",14,191,3,8,서울,강서구,70,2024-07-06 19:50:16.508628,https://www.jumpit.co.kr/position/27555,서버/백엔드 개발자,java
338,시니어 백엔드 개발자,오엔제이,"['spring', 'amazon ec2', 'java', 'Git', 'MySQL', 'Redis']",4,410,5,10,서울,강남구,70,2024-07-06 19:51:34.523011,https://www.jumpit.co.kr/position/20678,서버/백엔드 개발자,java
740,"여행 IT 개발(JAVA, Spring)자 채용",틱스잇,"['java', 'Git', 'Linux', 'Spring Framework', 'react', 'vue.js', 'Spring', 'Jira', 'AWS']",47,5732,2,10,서울,성동구,70,2024-07-06 19:50:26.106486,https://www.jumpit.co.kr/position/9448,웹 풀스택 개발자,java
1638,개발팀 리드,오엔제이,"['spring', 'java', 'MySQL', 'Redis', 'react', 'typescript', 'aws', 'Spring Data JPA']",15,1410,10,20,서울,강남구,70,2024-07-06 19:50:58.210192,https://www.jumpit.co.kr/position/15716,개발 PM,java
2477,백엔드 개발자 담당,인피니티익스체인지코리아,"['spring boot', 'spring data jpa', 'rest api', 'mysql', 'aws', 'Spring Data JPA', 'redis', 'Mybatis']",30,875,7,10,서울,강남구,70,2024-07-06 19:50:19.725825,https://www.jumpit.co.kr/position/25482,서버/백엔드 개발자,rest api
3184,[병역특례] 풀스택개발 산업기능요원 모집,넛지헬스케어,"['REST API', 'python', 'Git', 'rest api', 'Redux', 'Node.js', 'aws', 'AWS', 'React', 'javascript']",3,140,0,2,서울,강남구,70,2024-07-06 19:50:28.236961,https://www.jumpit.co.kr/position/26865,웹 풀스택 개발자,rest api
3383,CJ ONE 모바일앱 Android 시스템 개발/운영,씨제이올리브네트웍스(CJ올리브네트웍스),"['Java', 'Git', 'rest api', 'Android OS', 'Kotlin']",1,25,5,12,서울,용산구,70,2024-07-06 19:52:00.180236,https://www.jumpit.co.kr/position/28385,안드로이드 개발자,rest api
5220,시니어 백엔드 개발자,오엔제이,"['spring', 'amazon ec2', 'java', 'Git', 'MySQL', 'Redis']",4,410,5,10,서울,강남구,70,2024-07-06 19:51:34.523011,https://www.jumpit.co.kr/position/20678,서버/백엔드 개발자,amazon ec2
10452,플랫폼 개발자,클루닉스,"['CSS 3', 'jQuery', 'linux', 'JavaScript', 'HTML5', 'MySQL', 'PHP', 'Bootstrap', 'React.js Boilerplate']",0,32,3,15,서울,영등포구,70,2024-07-06 19:51:53.785637,https://www.jumpit.co.kr/position/27848,프론트엔드 개발자,linux
10622,플랫폼 개발자,클루닉스,"['CSS 3', 'jQuery', 'linux', 'JavaScript', 'HTML5', 'MySQL', 'PHP', 'Bootstrap', 'React.js Boilerplate']",0,32,3,15,서울,영등포구,70,2024-07-06 19:51:53.785637,https://www.jumpit.co.kr/position/27848,웹 풀스택 개발자,linux
11798,기업부설연구소 Linux & Yocto 개발,에스디티,"['sw', 'linux']",0,251,3,10,서울,강남구,70,2024-07-06 19:51:32.389372,https://www.jumpit.co.kr/position/14492,SW/솔루션,linux
12160,[스패로우] 웹 취약점 분석 컨설턴트,파수,"['html5', 'jsp', 'linux', 'windows', 'javascript', 'css 3']",0,2,3,10,서울,마포구,70,2024-07-06 19:51:47.347787,https://www.jumpit.co.kr/position/28201,기술지원,linux
12334,[병역특례] 백엔드개발(Node.js) 산업기능요원 모집,넛지헬스케어,"['postgresql', 'elasticsearch', 'amazon dynamodb', 'Node.js', 'mysql', 'aws']",3,142,0,3,서울,강남구,70,2024-07-06 19:50:36.811555,https://www.jumpit.co.kr/position/26863,서버/백엔드 개발자,postgresql
