,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,URL,카테고리,기술스택
74,퀀트 트레이더 모집,에이티지,"['c#', 'c++', 'python', 'node.js', 'c', 'java', 'fpga', 'rest api', 'websocket']",15,612,0,15,서울,강남구,70,2024-05-08 00:30:20.575929,https://www.jumpit.co.kr/position/24372,서버/백엔드 개발자,java
365,시니어 백엔드 개발자,오엔제이,"['spring', 'amazon ec2', 'java', 'Git', 'MySQL', 'Redis']",3,337,5,10,서울,강남구,70,2024-05-08 00:31:28.242209,https://www.jumpit.co.kr/position/20678,서버/백엔드 개발자,java
751,솔루션 및 웹 개발자 모집(java/jsp),티오이십일콤즈,"['java', 'oracle', 'sw', 'rest api', 'jsp', 'react', 'mysql', 'jquery', 'javascript']",1,192,5,10,서울,구로구,70,2024-05-08 00:30:18.436146,https://www.jumpit.co.kr/position/23389,웹 풀스택 개발자,java
756,개발자(JAVA/Spring),쥬비스다이어트,"['java', 'Spring', 'javascript']",18,1418,3,8,서울,강남구,70,2024-05-08 00:30:21.651185,https://www.jumpit.co.kr/position/19731,웹 풀스택 개발자,java
758,"여행 IT 개발(JAVA, Spring)자 채용",틱스잇,"['java', 'Git', 'Linux', 'Spring Framework', 'react', 'vue.js', 'Spring', 'Jira', 'AWS']",40,5100,2,10,서울,성동구,70,2024-05-08 00:30:23.788172,https://www.jumpit.co.kr/position/9448,웹 풀스택 개발자,java
834,[경력] JAVA/JSP 웹 개발자,넥스프론,"['java', 'JSP', 'Ajax', 'SQL']",4,256,3,10,서울,영등포구,70,2024-05-08 00:31:14.242202,https://www.jumpit.co.kr/position/24177,웹 풀스택 개발자,java
953,안드로이드 및 iOS 기반 디바이스 애플리케이션 개발,엑스퍼트아이엔씨,"['java', 'kotlin', 'Flutter', 'React Native', 'iOS', 'Android OS', 'swift']",5,825,5,10,서울,송파구,70,2024-05-08 00:31:09.947955,https://www.jumpit.co.kr/position/14302,안드로이드 개발자,java
955,IVI OS Engineer,42dot,"['android os', 'c++', 'java', 'linux', 'kotlin', 'embedded', 'network']",6,806,5,15,서울,강남구,70,2024-05-08 00:31:09.947955,https://www.jumpit.co.kr/position/15567,안드로이드 개발자,java
1049,안드로이드 및 iOS 기반 디바이스 애플리케이션 개발,엑스퍼트아이엔씨,"['java', 'kotlin', 'Flutter', 'React Native', 'iOS', 'Android OS', 'swift']",5,825,5,10,서울,송파구,70,2024-05-08 00:31:09.947955,https://www.jumpit.co.kr/position/14302,크로스플랫폼 앱개발자,java
1496,Application Architect (고급),코그넷나인,['java'],0,150,8,15,서울,서초구,70,2024-05-08 00:31:51.863659,https://www.jumpit.co.kr/position/15495,devops/시스템 엔지니어,java
1646,프로젝트 어시스턴트,라라스테이션,"['java', 'microsoft office 365']",10,843,0,10,서울,강남구,70,2024-05-08 00:31:02.448640,https://www.jumpit.co.kr/position/15173,개발 PM,java
1651,개발팀 리드,오엔제이,"['spring', 'java', 'MySQL', 'Redis', 'react', 'typescript', 'aws', 'Spring Data JPA']",12,1284,10,20,서울,강남구,70,2024-05-08 00:31:12.109365,https://www.jumpit.co.kr/position/15716,개발 PM,java
1736,IVI OS Engineer,42dot,"['android os', 'c++', 'java', 'linux', 'kotlin', 'embedded', 'network']",6,806,5,15,서울,강남구,70,2024-05-08 00:31:09.947955,https://www.jumpit.co.kr/position/15567,HW/임베디드,java
1924,솔루션 및 웹 개발자 모집(java/jsp),티오이십일콤즈,"['java', 'oracle', 'sw', 'rest api', 'jsp', 'react', 'mysql', 'jquery', 'javascript']",1,192,5,10,서울,구로구,70,2024-05-08 00:30:18.436146,https://www.jumpit.co.kr/position/23389,SW/솔루션,java
2574,퀀트 트레이더 모집,에이티지,"['c#', 'c++', 'python', 'node.js', 'c', 'java', 'fpga', 'rest api', 'websocket']",15,612,0,15,서울,강남구,70,2024-05-08 00:30:20.575929,https://www.jumpit.co.kr/position/24372,서버/백엔드 개발자,rest api
2903,[Unstable Treasuries] 백엔드 개발자,오파트너스,"['node.js', 'rest api', 'firebase', 'aws', 'nosql', 'docker']",6,465,3,7,서울,성동구,70,2024-05-08 00:31:38.957231,https://www.jumpit.co.kr/position/15469,서버/백엔드 개발자,rest api
3246,[병역특례] 풀스택개발 산업기능요원 모집,넛지헬스케어,"['REST API', 'python', 'Git', 'rest api', 'Redux', 'Node.js', 'aws', 'AWS', 'React', 'javascript']",60,2472,0,2,서울,강남구,70,2024-05-08 00:30:17.372486,https://www.jumpit.co.kr/position/12720,웹 풀스택 개발자,rest api
3251,솔루션 및 웹 개발자 모집(java/jsp),티오이십일콤즈,"['java', 'oracle', 'sw', 'rest api', 'jsp', 'react', 'mysql', 'jquery', 'javascript']",1,192,5,10,서울,구로구,70,2024-05-08 00:30:18.436146,https://www.jumpit.co.kr/position/23389,웹 풀스택 개발자,rest api
3421,CJ ONE 모바일앱 Android 시스템 개발/운영,씨제이올리브네트웍스(CJ올리브네트웍스),"['Java', 'Git', 'rest api', 'Android OS', 'Kotlin']",35,1813,5,12,서울,용산구,70,2024-05-08 00:30:29.156023,https://www.jumpit.co.kr/position/21526,안드로이드 개발자,rest api
3809,Phyton 및 인공지능(AI) 개발자 모집,티오이십일콤즈,"['pandas', 'python', 'tensorflow', 'rest api', 'ai/인공지능', 'pytorch', 'machinelearning', 'numpy']",8,533,5,10,서울,구로구,70,2024-05-08 00:31:30.389129,https://www.jumpit.co.kr/position/15031,인공지능/머신러닝,rest api
4424,솔루션 및 웹 개발자 모집(java/jsp),티오이십일콤즈,"['java', 'oracle', 'sw', 'rest api', 'jsp', 'react', 'mysql', 'jquery', 'javascript']",1,192,5,10,서울,구로구,70,2024-05-08 00:30:18.436146,https://www.jumpit.co.kr/position/23389,SW/솔루션,rest api
5707,React 프론트엔드 개발자 모집,이원커뮤니케이션,"['mariadb', 'react', 'gitlab', 'javascript', 'docker']",5,403,4,8,서울,금천구,70,2024-05-08 00:31:48.635381,https://www.jumpit.co.kr/position/15188,프론트엔드 개발자,mariadb
5760,웹 풀스택 개발자 모집,케이알메딕스,"['mariadb', 'php', 'mysql']",19,882,1,10,서울,강남구,70,2024-05-08 00:30:23.788172,https://www.jumpit.co.kr/position/15463,웹 풀스택 개발자,mariadb
15096,[병역특례] 백엔드개발(Node.js) 산업기능요원 모집,넛지헬스케어,"['postgresql', 'elasticsearch', 'amazon dynamodb', 'Node.js', 'mysql', 'aws']",73,4192,0,3,서울,강남구,70,2024-05-08 00:30:24.872519,https://www.jumpit.co.kr/position/11999,서버/백엔드 개발자,aws
15249,Node.js 백엔드 개발자 채용,나우코딩랩스,"['amazon ec2', 'node.js', 'mysql', 'typescript', 'aws']",21,1135,4,20,서울,중구,70,2024-05-08 00:30:59.225842,https://www.jumpit.co.kr/position/15501,서버/백엔드 개발자,aws
15403,[Unstable Treasuries] 백엔드 개발자,오파트너스,"['node.js', 'rest api', 'firebase', 'aws', 'nosql', 'docker']",6,465,3,7,서울,성동구,70,2024-05-08 00:31:38.957231,https://www.jumpit.co.kr/position/15469,서버/백엔드 개발자,aws
15469,서버/백엔드 개발자 채용,캔랩코리아,"['kubernetes', 'node.js', 'elasticsearch', 'JavaScript', 'amazon dynamodb', 'JSON', 'typescript', 'aws', 'aws lambda', 'grpc']",1,10,2,12,서울,서초구,70,2024-05-08 00:32:21.884427,https://www.jumpit.co.kr/position/24827,서버/백엔드 개발자,aws
15715,Frontend Developer(7년 이상),바비톡,"['TypeScript', 'JavaScript', 'react', 'aws']",1,50,7,10,서울,강남구,70,2024-05-08 00:31:59.416002,https://www.jumpit.co.kr/position/24437,프론트엔드 개발자,aws
15746,[병역특례] 풀스택개발 산업기능요원 모집,넛지헬스케어,"['REST API', 'python', 'Git', 'rest api', 'Redux', 'Node.js', 'aws', 'AWS', 'React', 'javascript']",60,2472,0,2,서울,강남구,70,2024-05-08 00:30:17.372486,https://www.jumpit.co.kr/position/12720,웹 풀스택 개발자,aws
15765,웹 풀스택 개발자 경력사원 모집,호들,"['node.js', 'next.js', 'html5', 'react', 'mysql', 'typescript', 'graphql', 'aws', 'css 3']",14,1560,3,8,서울,강남구,70,2024-05-08 00:30:27.002945,https://www.jumpit.co.kr/position/15198,웹 풀스택 개발자,aws
16056,React Native 앱개발자 채용,나우코딩랩스,"['android os', 'git', 'react', 'react native', 'typescript', 'ios', 'aws', 'javascript']",7,549,3,25,서울,중구,70,2024-05-08 00:31:28.242209,https://www.jumpit.co.kr/position/15505,크로스플랫폼 앱개발자,aws
16182,"DW 아키텍쳐, 컨설턴트,  PL급, Cloud전문가",에스피에이치,"['Dw', 'gcp', 'Dm', 'BigData', 'DeepLearning', 'MachineLearning', 'aws', 'google bigquery', 'SQL', 'Python']",14,696,3,15,서울,마포구,70,2024-05-08 00:31:23.922564,https://www.jumpit.co.kr/position/10551,빅데이터 엔지니어,aws
16269,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['spring framework', 'python', 'c++', 'AI/인공지능', 'c', 'git', 'gitlab', 'aws']",0,159,4,12,서울,강남구,70,2024-05-08 00:30:58.145467,https://www.jumpit.co.kr/position/18096,인공지능/머신러닝,aws
16651,개발팀 리드,오엔제이,"['spring', 'java', 'MySQL', 'Redis', 'react', 'typescript', 'aws', 'Spring Data JPA']",12,1284,10,20,서울,강남구,70,2024-05-08 00:31:12.109365,https://www.jumpit.co.kr/position/15716,개발 PM,aws
16986,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['spring framework', 'python', 'c++', 'AI/인공지능', 'c', 'git', 'gitlab', 'aws']",0,159,4,12,서울,강남구,70,2024-05-08 00:30:58.145467,https://www.jumpit.co.kr/position/18096,SW/솔루션,aws
23556,React Native 앱개발자 채용,나우코딩랩스,"['android os', 'git', 'react', 'react native', 'typescript', 'ios', 'aws', 'javascript']",7,549,3,25,서울,중구,70,2024-05-08 00:31:28.242209,https://www.jumpit.co.kr/position/15505,크로스플랫폼 앱개발자,git
23769,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['spring framework', 'python', 'c++', 'AI/인공지능', 'c', 'git', 'gitlab', 'aws']",0,159,4,12,서울,강남구,70,2024-05-08 00:30:58.145467,https://www.jumpit.co.kr/position/18096,인공지능/머신러닝,git
23817,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",5,163,4,12,서울,강남구,70,2024-05-08 00:31:34.642806,https://www.jumpit.co.kr/position/18095,인공지능/머신러닝,git
