,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,URL,카테고리,기술스택
24486,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['spring framework', 'python', 'c++', 'AI/인공지능', 'c', 'git', 'gitlab', 'aws']",0,159,4,12,서울,강남구,70,2024-05-08 00:30:58.145467,https://www.jumpit.co.kr/position/18096,SW/솔루션,git
24580,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",5,163,4,12,서울,강남구,70,2024-05-08 00:31:34.642806,https://www.jumpit.co.kr/position/18095,SW/솔루션,git
25403,[Unstable Treasuries] 백엔드 개발자,오파트너스,"['node.js', 'rest api', 'firebase', 'aws', 'nosql', 'docker']",6,465,3,7,서울,성동구,70,2024-05-08 00:31:38.957231,https://www.jumpit.co.kr/position/15469,서버/백엔드 개발자,docker
25454,Cloud 기반 플랫폼 개발자 모집,씨온드림,"['kubernetes', 'C++', 'C', 'Network', 'golang', 'docker']",2,207,4,15,경기,성남시,70,2024-05-08 00:32:09.032541,https://www.jumpit.co.kr/position/19956,서버/백엔드 개발자,docker
25707,React 프론트엔드 개발자 모집,이원커뮤니케이션,"['mariadb', 'react', 'gitlab', 'javascript', 'docker']",5,403,4,8,서울,금천구,70,2024-05-08 00:31:48.635381,https://www.jumpit.co.kr/position/15188,프론트엔드 개발자,docker
27574,퀀트 트레이더 모집,에이티지,"['c#', 'c++', 'python', 'node.js', 'c', 'java', 'fpga', 'rest api', 'websocket']",15,612,0,15,서울,강남구,70,2024-05-08 00:30:20.575929,https://www.jumpit.co.kr/position/24372,서버/백엔드 개발자,python
28246,[병역특례] 풀스택개발 산업기능요원 모집,넛지헬스케어,"['REST API', 'python', 'Git', 'rest api', 'Redux', 'Node.js', 'aws', 'AWS', 'React', 'javascript']",60,2472,0,2,서울,강남구,70,2024-05-08 00:30:17.372486,https://www.jumpit.co.kr/position/12720,웹 풀스택 개발자,python
28730,양자컴퓨팅 연구원(신입 및 경력),노르마,"['python', 'C++', 'C', 'ai/인공지능', 'linux', 'pytorch', 'machinelearning']",19,973,0,10,서울,성동구,70,2024-05-08 00:30:24.872519,https://www.jumpit.co.kr/position/18164,인공지능/머신러닝,python
28769,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['spring framework', 'python', 'c++', 'AI/인공지능', 'c', 'git', 'gitlab', 'aws']",0,159,4,12,서울,강남구,70,2024-05-08 00:30:58.145467,https://www.jumpit.co.kr/position/18096,인공지능/머신러닝,python
28790,[에너지IT기업 해줌] 데이터사이언티스트,해줌,"['python', 'r', 'tableau', 'ai/인공지능', 'pytorch', 'machinelearning']",30,1379,3,20,서울,송파구,70,2024-05-08 00:31:16.407562,https://www.jumpit.co.kr/position/15108,인공지능/머신러닝,python
28809,Phyton 및 인공지능(AI) 개발자 모집,티오이십일콤즈,"['pandas', 'python', 'tensorflow', 'rest api', 'ai/인공지능', 'pytorch', 'machinelearning', 'numpy']",8,533,5,10,서울,구로구,70,2024-05-08 00:31:30.389129,https://www.jumpit.co.kr/position/15031,인공지능/머신러닝,python
28817,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",5,163,4,12,서울,강남구,70,2024-05-08 00:31:34.642806,https://www.jumpit.co.kr/position/18095,인공지능/머신러닝,python
29219,[신입] 반도체 회로 설계 개발자 채용,블루닷,"['c++', 'python', 'c', 'shell', 'verilog']",20,1040,0,1,서울,강남구,70,2024-05-08 00:30:43.142024,https://www.jumpit.co.kr/position/15154,HW/임베디드,python
29373,[경력] 반도체 회로설계 개발자,블루닷,"['c++', 'python', 'c', 'shell', 'verilog']",2,343,3,12,서울,강남구,70,2024-05-08 00:32:15.447766,https://www.jumpit.co.kr/position/15156,HW/임베디드,python
29486,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['spring framework', 'python', 'c++', 'AI/인공지능', 'c', 'git', 'gitlab', 'aws']",0,159,4,12,서울,강남구,70,2024-05-08 00:30:58.145467,https://www.jumpit.co.kr/position/18096,SW/솔루션,python
29580,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",5,163,4,12,서울,강남구,70,2024-05-08 00:31:34.642806,https://www.jumpit.co.kr/position/18095,SW/솔루션,python
32954,Cloud 기반 플랫폼 개발자 모집,씨온드림,"['kubernetes', 'C++', 'C', 'Network', 'golang', 'docker']",2,207,4,15,경기,성남시,70,2024-05-08 00:32:09.032541,https://www.jumpit.co.kr/position/19956,서버/백엔드 개발자,kubernetes
32969,서버/백엔드 개발자 채용,캔랩코리아,"['kubernetes', 'node.js', 'elasticsearch', 'JavaScript', 'amazon dynamodb', 'JSON', 'typescript', 'aws', 'aws lambda', 'grpc']",1,10,2,12,서울,서초구,70,2024-05-08 00:32:21.884427,https://www.jumpit.co.kr/position/24827,서버/백엔드 개발자,kubernetes
35365,시니어 백엔드 개발자,오엔제이,"['spring', 'amazon ec2', 'java', 'Git', 'MySQL', 'Redis']",3,337,5,10,서울,강남구,70,2024-05-08 00:31:28.242209,https://www.jumpit.co.kr/position/20678,서버/백엔드 개발자,spring
36651,개발팀 리드,오엔제이,"['spring', 'java', 'MySQL', 'Redis', 'react', 'typescript', 'aws', 'Spring Data JPA']",12,1284,10,20,서울,강남구,70,2024-05-08 00:31:12.109365,https://www.jumpit.co.kr/position/15716,개발 PM,spring
40491,프론트엔드 웹개발자 경력직 채용,캐럿글로벌,"['html5', 'vue.js', 'angularjs', 'javascript', 'css 3']",241,8579,1,8,서울,서초구,70,2024-05-08 00:30:09.834367,https://www.jumpit.co.kr/position/15124,프론트엔드 개발자,css 3
40665,[Unstable Treasuries] Web3.0 / React 프론트엔드 개발자,오파트너스,"['github', 'next.js', 'html5', 'webpack', 'react', 'typescript', 'javascript', 'css 3']",21,857,3,7,서울,성동구,70,2024-05-08 00:31:19.635383,https://www.jumpit.co.kr/position/15445,프론트엔드 개발자,css 3
40670,React /Angular 프론트엔드 개발자 채용,나우코딩랩스,"['angular 2', 'html5', 'react', 'sass', 'css 3']",11,682,3,20,서울,중구,70,2024-05-08 00:31:22.849545,https://www.jumpit.co.kr/position/15504,프론트엔드 개발자,css 3
40765,웹 풀스택 개발자 경력사원 모집,호들,"['node.js', 'next.js', 'html5', 'react', 'mysql', 'typescript', 'graphql', 'aws', 'css 3']",14,1560,3,8,서울,강남구,70,2024-05-08 00:30:27.002945,https://www.jumpit.co.kr/position/15198,웹 풀스택 개발자,css 3
40772,PHP 개발자,휴먼이즈,"['html5', 'php', 'mysql', 'jquery', 'css 3']",52,1937,0,5,서울,용산구,70,2024-05-08 00:30:30.226069,https://www.jumpit.co.kr/position/15530,웹 풀스택 개발자,css 3
42426,[스패로우] 웹 취약점 분석 컨설턴트,파수,"['html5', 'jsp', 'linux', 'windows', 'javascript', 'css 3']",4,349,3,10,서울,마포구,70,2024-05-08 00:30:43.142024,https://www.jumpit.co.kr/position/15191,기술지원,css 3
42991,프론트엔드 웹개발자 경력직 채용,캐럿글로벌,"['html5', 'vue.js', 'angularjs', 'javascript', 'css 3']",241,8579,1,8,서울,서초구,70,2024-05-08 00:30:09.834367,https://www.jumpit.co.kr/position/15124,프론트엔드 개발자,html5
43165,[Unstable Treasuries] Web3.0 / React 프론트엔드 개발자,오파트너스,"['github', 'next.js', 'html5', 'webpack', 'react', 'typescript', 'javascript', 'css 3']",21,857,3,7,서울,성동구,70,2024-05-08 00:31:19.635383,https://www.jumpit.co.kr/position/15445,프론트엔드 개발자,html5
43170,React /Angular 프론트엔드 개발자 채용,나우코딩랩스,"['angular 2', 'html5', 'react', 'sass', 'css 3']",11,682,3,20,서울,중구,70,2024-05-08 00:31:22.849545,https://www.jumpit.co.kr/position/15504,프론트엔드 개발자,html5
43265,웹 풀스택 개발자 경력사원 모집,호들,"['node.js', 'next.js', 'html5', 'react', 'mysql', 'typescript', 'graphql', 'aws', 'css 3']",14,1560,3,8,서울,강남구,70,2024-05-08 00:30:27.002945,https://www.jumpit.co.kr/position/15198,웹 풀스택 개발자,html5
43272,PHP 개발자,휴먼이즈,"['html5', 'php', 'mysql', 'jquery', 'css 3']",52,1937,0,5,서울,용산구,70,2024-05-08 00:30:30.226069,https://www.jumpit.co.kr/position/15530,웹 풀스택 개발자,html5
43385,글로벌 웹 분석 관련 개발자 (웹 분석 기술 지원),콘센트릭스서비스코리아,"['html5', 'jsp', 'google analytics', 'javascript']",5,457,2,15,서울,강남구,70,2024-05-08 00:31:51.863659,https://www.jumpit.co.kr/position/15646,웹 풀스택 개발자,html5
44926,[스패로우] 웹 취약점 분석 컨설턴트,파수,"['html5', 'jsp', 'linux', 'windows', 'javascript', 'css 3']",4,349,3,10,서울,마포구,70,2024-05-08 00:30:43.142024,https://www.jumpit.co.kr/position/15191,기술지원,html5
44973,글로벌 웹 분석 관련 개발자 (웹 분석 기술 지원),콘센트릭스서비스코리아,"['html5', 'jsp', 'google analytics', 'javascript']",5,457,2,15,서울,강남구,70,2024-05-08 00:31:51.863659,https://www.jumpit.co.kr/position/15646,기술지원,html5
45491,프론트엔드 웹개발자 경력직 채용,캐럿글로벌,"['html5', 'vue.js', 'angularjs', 'javascript', 'css 3']",241,8579,1,8,서울,서초구,70,2024-05-08 00:30:09.834367,https://www.jumpit.co.kr/position/15124,프론트엔드 개발자,javascript
45542,[쉬운 지원] 프론트엔드 개발자,르네상스랩스,"['react', 'typescript', 'javascript', 'solidity']",70,1476,3,10,서울,성동구,70,2024-05-08 00:30:22.712095,https://www.jumpit.co.kr/position/15410,프론트엔드 개발자,javascript
45665,[Unstable Treasuries] Web3.0 / React 프론트엔드 개발자,오파트너스,"['github', 'next.js', 'html5', 'webpack', 'react', 'typescript', 'javascript', 'css 3']",21,857,3,7,서울,성동구,70,2024-05-08 00:31:19.635383,https://www.jumpit.co.kr/position/15445,프론트엔드 개발자,javascript
45707,React 프론트엔드 개발자 모집,이원커뮤니케이션,"['mariadb', 'react', 'gitlab', 'javascript', 'docker']",5,403,4,8,서울,금천구,70,2024-05-08 00:31:48.635381,https://www.jumpit.co.kr/position/15188,프론트엔드 개발자,javascript
45746,[병역특례] 풀스택개발 산업기능요원 모집,넛지헬스케어,"['REST API', 'python', 'Git', 'rest api', 'Redux', 'Node.js', 'aws', 'AWS', 'React', 'javascript']",60,2472,0,2,서울,강남구,70,2024-05-08 00:30:17.372486,https://www.jumpit.co.kr/position/12720,웹 풀스택 개발자,javascript
45751,솔루션 및 웹 개발자 모집(java/jsp),티오이십일콤즈,"['java', 'oracle', 'sw', 'rest api', 'jsp', 'react', 'mysql', 'jquery', 'javascript']",1,192,5,10,서울,구로구,70,2024-05-08 00:30:18.436146,https://www.jumpit.co.kr/position/23389,웹 풀스택 개발자,javascript
45756,개발자(JAVA/Spring),쥬비스다이어트,"['java', 'Spring', 'javascript']",18,1418,3,8,서울,강남구,70,2024-05-08 00:30:21.651185,https://www.jumpit.co.kr/position/19731,웹 풀스택 개발자,javascript
45885,글로벌 웹 분석 관련 개발자 (웹 분석 기술 지원),콘센트릭스서비스코리아,"['html5', 'jsp', 'google analytics', 'javascript']",5,457,2,15,서울,강남구,70,2024-05-08 00:31:51.863659,https://www.jumpit.co.kr/position/15646,웹 풀스택 개발자,javascript
46056,React Native 앱개발자 채용,나우코딩랩스,"['android os', 'git', 'react', 'react native', 'typescript', 'ios', 'aws', 'javascript']",7,549,3,25,서울,중구,70,2024-05-08 00:31:28.242209,https://www.jumpit.co.kr/position/15505,크로스플랫폼 앱개발자,javascript
46924,솔루션 및 웹 개발자 모집(java/jsp),티오이십일콤즈,"['java', 'oracle', 'sw', 'rest api', 'jsp', 'react', 'mysql', 'jquery', 'javascript']",1,192,5,10,서울,구로구,70,2024-05-08 00:30:18.436146,https://www.jumpit.co.kr/position/23389,SW/솔루션,javascript
47426,[스패로우] 웹 취약점 분석 컨설턴트,파수,"['html5', 'jsp', 'linux', 'windows', 'javascript', 'css 3']",4,349,3,10,서울,마포구,70,2024-05-08 00:30:43.142024,https://www.jumpit.co.kr/position/15191,기술지원,javascript
47473,글로벌 웹 분석 관련 개발자 (웹 분석 기술 지원),콘센트릭스서비스코리아,"['html5', 'jsp', 'google analytics', 'javascript']",5,457,2,15,서울,강남구,70,2024-05-08 00:31:51.863659,https://www.jumpit.co.kr/position/15646,기술지원,javascript
48429,안드로이드 개발 (Android Developer),다큐브,"['android sdk', 'Java', 'android os', 'kotlin', 'rxjava']",4,73,1,5,서울,영등포구,70,2024-05-08 00:30:40.976719,https://www.jumpit.co.kr/position/24715,안드로이드 개발자,kotlin
48453,안드로이드 및 iOS 기반 디바이스 애플리케이션 개발,엑스퍼트아이엔씨,"['java', 'kotlin', 'Flutter', 'React Native', 'iOS', 'Android OS', 'swift']",5,825,5,10,서울,송파구,70,2024-05-08 00:31:09.947955,https://www.jumpit.co.kr/position/14302,안드로이드 개발자,kotlin
48455,IVI OS Engineer,42dot,"['android os', 'c++', 'java', 'linux', 'kotlin', 'embedded', 'network']",6,806,5,15,서울,강남구,70,2024-05-08 00:31:09.947955,https://www.jumpit.co.kr/position/15567,안드로이드 개발자,kotlin
48549,안드로이드 및 iOS 기반 디바이스 애플리케이션 개발,엑스퍼트아이엔씨,"['java', 'kotlin', 'Flutter', 'React Native', 'iOS', 'Android OS', 'swift']",5,825,5,10,서울,송파구,70,2024-05-08 00:31:09.947955,https://www.jumpit.co.kr/position/14302,크로스플랫폼 앱개발자,kotlin
49236,IVI OS Engineer,42dot,"['android os', 'c++', 'java', 'linux', 'kotlin', 'embedded', 'network']",6,806,5,15,서울,강남구,70,2024-05-08 00:31:09.947955,https://www.jumpit.co.kr/position/15567,HW/임베디드,kotlin
50249,Node.js 백엔드 개발자 채용,나우코딩랩스,"['amazon ec2', 'node.js', 'mysql', 'typescript', 'aws']",21,1135,4,20,서울,중구,70,2024-05-08 00:30:59.225842,https://www.jumpit.co.kr/position/15501,서버/백엔드 개발자,typescript
50469,서버/백엔드 개발자 채용,캔랩코리아,"['kubernetes', 'node.js', 'elasticsearch', 'JavaScript', 'amazon dynamodb', 'JSON', 'typescript', 'aws', 'aws lambda', 'grpc']",1,10,2,12,서울,서초구,70,2024-05-08 00:32:21.884427,https://www.jumpit.co.kr/position/24827,서버/백엔드 개발자,typescript
50537,프론트엔드 개발자 (3년 이상),테이텀,"['JavaScript', 'HTML5', 'vue.js', 'typescript', 'angularjs', 'React']",2,177,3,5,서울,강남구,70,2024-05-08 00:30:21.651185,https://www.jumpit.co.kr/position/24221,프론트엔드 개발자,typescript
50542,[쉬운 지원] 프론트엔드 개발자,르네상스랩스,"['react', 'typescript', 'javascript', 'solidity']",70,1476,3,10,서울,성동구,70,2024-05-08 00:30:22.712095,https://www.jumpit.co.kr/position/15410,프론트엔드 개발자,typescript
50665,[Unstable Treasuries] Web3.0 / React 프론트엔드 개발자,오파트너스,"['github', 'next.js', 'html5', 'webpack', 'react', 'typescript', 'javascript', 'css 3']",21,857,3,7,서울,성동구,70,2024-05-08 00:31:19.635383,https://www.jumpit.co.kr/position/15445,프론트엔드 개발자,typescript
50668,프론트엔드팀,더이앤엠,"['next.js', 'Redux', 'es6', 'typescript', 'mobX', 'react.js boilerplate', 'React']",15,968,5,15,서울,서초구,70,2024-05-08 00:31:21.781700,https://www.jumpit.co.kr/position/15119,프론트엔드 개발자,typescript
50705,[Bodyall] React Native 프론트엔드 개발자,미디어캔,"['next.js', 'Adobe XD', 'react query', 'React Native', 'typescript', 'mobx']",11,483,3,7,서울,강서구,70,2024-05-08 00:31:46.501904,https://www.jumpit.co.kr/position/15616,프론트엔드 개발자,typescript
50765,웹 풀스택 개발자 경력사원 모집,호들,"['node.js', 'next.js', 'html5', 'react', 'mysql', 'typescript', 'graphql', 'aws', 'css 3']",14,1560,3,8,서울,강남구,70,2024-05-08 00:30:27.002945,https://www.jumpit.co.kr/position/15198,웹 풀스택 개발자,typescript
51056,React Native 앱개발자 채용,나우코딩랩스,"['android os', 'git', 'react', 'react native', 'typescript', 'ios', 'aws', 'javascript']",7,549,3,25,서울,중구,70,2024-05-08 00:31:28.242209,https://www.jumpit.co.kr/position/15505,크로스플랫폼 앱개발자,typescript
51651,개발팀 리드,오엔제이,"['spring', 'java', 'MySQL', 'Redis', 'react', 'typescript', 'aws', 'Spring Data JPA']",12,1284,10,20,서울,강남구,70,2024-05-08 00:31:12.109365,https://www.jumpit.co.kr/position/15716,개발 PM,typescript
52574,퀀트 트레이더 모집,에이티지,"['c#', 'c++', 'python', 'node.js', 'c', 'java', 'fpga', 'rest api', 'websocket']",15,612,0,15,서울,강남구,70,2024-05-08 00:30:20.575929,https://www.jumpit.co.kr/position/24372,서버/백엔드 개발자,node.js
52643,백엔드 개발자 (경력 3년~5년),테이텀,"['node.js', 'NoSql', 'PostgreSQL', 'MySQL', 'Ansible', 'Go', 'mysql', 'Ruby', 'rabbitmq', 'redis', 'Python']",5,186,3,5,서울,강남구,70,2024-05-08 00:30:34.523141,https://www.jumpit.co.kr/position/24222,서버/백엔드 개발자,node.js
