,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,URL,카테고리,기술스택
489,커머스 플랫폼 - 백엔드 개발자,스퀘어스,"['JavaScript', 'Node.js', 'typescript', 'java', 'python', 'Git', 'AWS', 'Redis', 'mysql']",0,22,3,9,서울,중구,70,2024-04-02 22:39:47.118733,https://www.jumpit.co.kr/position/24101,서버/백엔드 개발자,python
826,[병역특례] 풀스택개발 산업기능요원 모집,넛지헬스케어,"['Node.js', 'REST API', 'AWS', 'Git', 'aws', 'rest api', 'python', 'javascript', 'React', 'Redux']",61,2268,0,2,서울,강남구,70,2024-04-02 22:37:36.579874,https://www.jumpit.co.kr/position/12720,웹 풀스택 개발자,python
971,커머스 플랫폼 - 백엔드 개발자,스퀘어스,"['JavaScript', 'Node.js', 'typescript', 'java', 'python', 'Git', 'AWS', 'Redis', 'mysql']",0,22,3,9,서울,중구,70,2024-04-02 22:39:47.118733,https://www.jumpit.co.kr/position/24101,웹 풀스택 개발자,python
1313,양자컴퓨팅 연구원(신입 및 경력),노르마,"['machinelearning', 'ai/인공지능', 'linux', 'python', 'pytorch', 'C', 'C++']",19,811,0,10,서울,성동구,70,2024-04-02 22:37:33.169304,https://www.jumpit.co.kr/position/18164,인공지능/머신러닝,python
1361,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['python', 'spring framework', 'aws', 'c', 'c++', 'git', 'gitlab', 'AI/인공지능']",0,121,4,12,서울,강남구,70,2024-04-02 22:38:20.414261,https://www.jumpit.co.kr/position/18096,인공지능/머신러닝,python
1363,[에너지IT기업 해줌] 데이터사이언티스트,해줌,"['python', 'pytorch', 'r', 'tableau', 'ai/인공지능', 'machinelearning']",28,1175,3,20,서울,송파구,70,2024-04-02 22:38:22.732588,https://www.jumpit.co.kr/position/15108,인공지능/머신러닝,python
1390,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",5,128,4,12,서울,강남구,70,2024-04-02 22:38:36.629674,https://www.jumpit.co.kr/position/18095,인공지능/머신러닝,python
1398,Phyton 및 인공지능(AI) 개발자 모집,티오이십일콤즈,"['ai/인공지능', 'rest api', 'python', 'pandas', 'numpy', 'tensorflow', 'pytorch', 'machinelearning']",8,479,5,10,서울,구로구,70,2024-04-02 22:38:45.908880,https://www.jumpit.co.kr/position/15031,인공지능/머신러닝,python
1694,[라온시큐어] 보안컨설턴트 경력직 채용,라온시큐어,"['AWS', 'CISA', 'ISMS', 'CISSP', 'windows', 'python']",0,20,3,5,서울,영등포구,70,2024-04-02 22:39:50.715849,https://www.jumpit.co.kr/position/23745,정보보안 담당자,python
1849,[신입] 반도체 회로 설계 개발자 채용,블루닷,"['c', 'c++', 'verilog', 'shell', 'python']",16,924,0,1,서울,강남구,70,2024-04-02 22:37:45.759107,https://www.jumpit.co.kr/position/15154,HW/임베디드,python
1999,[경력] 반도체 회로설계 개발자,블루닷,"['c', 'c++', 'verilog', 'shell', 'python']",2,298,3,12,서울,강남구,70,2024-04-02 22:39:39.128955,https://www.jumpit.co.kr/position/15156,HW/임베디드,python
2141,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['python', 'spring framework', 'aws', 'c', 'c++', 'git', 'gitlab', 'AI/인공지능']",0,121,4,12,서울,강남구,70,2024-04-02 22:38:20.414261,https://www.jumpit.co.kr/position/18096,SW/솔루션,python
2180,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",5,128,4,12,서울,강남구,70,2024-04-02 22:38:36.629674,https://www.jumpit.co.kr/position/18095,SW/솔루션,python
