,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,URL,카테고리,기술스택
1030171,MLOps 엔지니어,펀진,"['Git', 'Kubernetes', 'Docker', 'Jenkins', 'Argo', 'Kubeflow', 'PyTorch', 'Python', 'MachineLearning', 'AI/인공지능']",6,291,3,7,서울,성동구,70,2024-03-03 12:45:49.300571,https://www.jumpit.co.kr/position/16874,인공지능/머신러닝,Jenkins
1030190,[에듀윌] 시스템 엔지니어 (SE),에듀윌,"['Docker', 'vmware', 'Jenkins', 'GitLab', 'Zabbix', 'K8S', 'GNU Bash', 'Python', 'Jira']",4,157,5,15,서울,구로구,70,2024-03-03 12:43:33.807134,https://www.jumpit.co.kr/position/22622,devops/시스템 엔지니어,Jenkins
1030207,AWS Infra Engineer(인프라 엔지니어),피어테크,"['Ansible', 'AWS CloudFormation', 'Kubernetes', 'GitHub', 'Jenkins', 'Linux', 'Python', 'Go', 'AWS']",13,1123,3,8,서울,강남구,70,2024-03-03 12:43:55.722291,https://www.jumpit.co.kr/position/7984,devops/시스템 엔지니어,Jenkins
1030213,시스템 인프라 운영 엔지니어 채용,티엔에이치,"['NGINX', 'Galera Cluster', 'AWS', 'Network', 'Linux', 'RabbitMQ', 'Redis', 'Kubernetes', 'Jenkins', 'GitHub Actions']",18,600,0,7,경기,성남시,70,2024-03-03 12:44:02.751974,https://www.jumpit.co.kr/position/21640,devops/시스템 엔지니어,Jenkins
1030214,[플랫폼개발팀] 보안 및 서비스 플랫폼 개발자,수산아이앤티,"['Linux', 'C', 'C++', 'Python', 'Java', 'Go', 'TCP/IP', 'OpenSSL', 'GitLab', 'Jenkins', 'K8S']",12,327,0,7,대전,서구,70,2024-03-03 12:44:02.751974,https://www.jumpit.co.kr/position/22412,devops/시스템 엔지니어,Jenkins
1030228,Cloud Network Engineer,트래블월렛,"['AWS', 'Linux', 'Git', 'Ansible', 'Kubernetes', 'Jenkins', 'Elasticsearch', 'Grafana', 'Prometheus', 'MySQL']",4,168,4,8,서울,강남구,70,2024-03-03 12:44:17.787510,https://www.jumpit.co.kr/position/22297,devops/시스템 엔지니어,Jenkins
1030245,[하나금융그룹자회사] 시스템 담당자,핀크,"['MariaDB', 'Jenkins', 'Grafana', 'Git', 'Oracle', 'Elasticsearch']",0,54,3,10,서울,중구,70,2024-03-03 12:44:30.555103,https://www.jumpit.co.kr/position/22895,devops/시스템 엔지니어,Jenkins
1030246,DevOps Engineer,오케스트로,"['Kubernetes', 'Docker', 'Jenkins', 'Linux', 'MSA', 'Git', 'Kafka']",11,515,1,6,서울,영등포구,70,2024-03-03 12:44:30.555103,https://www.jumpit.co.kr/position/19177,devops/시스템 엔지니어,Jenkins
1030248,[서울] AWS DevOps (대리~차장),리만코리아,"['AWS', 'Kubernetes', 'MSA', 'Java', 'Python', 'SQL', 'Docker', 'Git', 'Jenkins']",1,85,5,15,서울,강남구,70,2024-03-03 12:44:33.975128,https://www.jumpit.co.kr/position/23068,devops/시스템 엔지니어,Jenkins
1030261,DevOps Engineer (3년 이상),메이크스타,"['Python', 'Django', 'MySQL', 'PostgreSQL', 'Redis', 'MongoDB', 'Jenkins', 'GitHub Actions', 'Docker', 'Datadog']",0,46,3,10,서울,강남구,70,2024-03-03 12:44:51.321935,https://www.jumpit.co.kr/position/22734,devops/시스템 엔지니어,Jenkins
1030263,[WAF팀] 웹 어플리케이션 개발자,수산아이앤티,"['Firewall', 'REST API', 'Linux', 'Python', 'Docker', 'K8S', 'Jenkins', 'GitLab']",4,91,0,8,서울,강남구,70,2024-03-03 12:44:52.510078,https://www.jumpit.co.kr/position/22418,devops/시스템 엔지니어,Jenkins
1030284,[Unannounced Project] DevOps Engineer (데브옵스 엔지니어),일렉트로닉아츠코리아,"['C', 'C++', 'Go', 'Kubernetes', 'Docker', 'Argo', 'GitLab', 'Jenkins', 'REST API', 'gRPC', 'Python']",3,245,5,15,서울,강남구,70,2024-03-03 12:45:06.227059,https://www.jumpit.co.kr/position/21396,devops/시스템 엔지니어,Jenkins
1030294,DevOps Engineer (Senior/Staff),컨트롤웍스,"['Continuous', 'Azure DevOps', 'Kubernetes', 'Jenkins', 'Git']",0,42,5,15,서울,강남구,70,2024-03-03 12:45:12.096561,https://www.jumpit.co.kr/position/22970,devops/시스템 엔지니어,Jenkins
1030310,Kubernetes / DevOps Engineer,오케스트로,"['Kubernetes', 'MSA', 'Istio', 'Prometheus', 'Git', 'Jenkins']",4,281,3,15,서울,영등포구,70,2024-03-03 12:45:25.972517,https://www.jumpit.co.kr/position/19883,devops/시스템 엔지니어,Jenkins
1030318,AI플랫폼 DevOps (3년이상),라온피플,"['Docker', 'Kubernetes', 'Bitbucket', 'Jenkins', 'SonarQube', 'Elasticsearch', 'Prometheus', 'Thanos', 'Grafana', 'HAProxy']",1,94,3,9,경기,성남시,70,2024-03-03 12:45:31.776436,https://www.jumpit.co.kr/position/20567,devops/시스템 엔지니어,Jenkins
1030331,[SWG팀] 형상관리 시스템 개발자,수산아이앤티,"['Linux', 'Python', 'Java', 'Go', 'TCP/IP', 'GitLab', 'Jenkins', 'K8S', 'C', 'C++']",4,58,0,7,서울,강남구,70,2024-03-03 12:45:37.675254,https://www.jumpit.co.kr/position/22414,devops/시스템 엔지니어,Jenkins
1030337,CI/CD 엔지니어,오픈소스컨설팅,"['GitHub', 'GitLab', 'Bitbucket', 'Jenkins', 'Jira', 'Bamboo', 'Git']",2,31,2,10,서울,강남구,70,2024-03-03 12:45:39.969086,https://www.jumpit.co.kr/position/22702,devops/시스템 엔지니어,Jenkins
1030342,OSS Engineer,오케스트로,"['Linux', 'Kubernetes', 'Docker', 'OpenStack', 'Jenkins', 'GitLab', 'MariaDB', 'Redis', 'Prometheus']",0,72,2,10,서울,영등포구,70,2024-03-03 12:45:43.473455,https://www.jumpit.co.kr/position/21800,devops/시스템 엔지니어,Jenkins
1030343,[팀프레시] 아키텍처팀 아키텍트 담당자,팀프레시,"['AWS', 'GCP', 'AZURE', 'MSA', 'Docker', 'Kubernetes', 'Jenkins', 'Java', 'Kotlin']",1,54,3,9,서울,강남구,70,2024-03-03 12:45:43.473455,https://www.jumpit.co.kr/position/23076,devops/시스템 엔지니어,Jenkins
1030347,[경력]  DevOps  엔지니어 채용,티엔에이치,"['NGINX', 'Galera Cluster', 'AWS', 'Network', 'Linux', 'RabbitMQ', 'Redis', 'Kubernetes', 'Jenkins', 'GitHub Actions']",3,68,4,10,경기,성남시,70,2024-03-03 12:45:46.887238,https://www.jumpit.co.kr/position/22885,devops/시스템 엔지니어,Jenkins
1030350,MLOps 엔지니어,펀진,"['Git', 'Kubernetes', 'Docker', 'Jenkins', 'Argo', 'Kubeflow', 'PyTorch', 'Python', 'MachineLearning', 'AI/인공지능']",6,291,3,7,서울,성동구,70,2024-03-03 12:45:49.300571,https://www.jumpit.co.kr/position/16874,devops/시스템 엔지니어,Jenkins
1030352,[병역특례_보충역/전직] 인프라 엔지니어,피어테크,"['Ansible', 'Kubernetes', 'GitHub', 'Jenkins', 'AWS Elastic Beanstalk', 'Linux', 'Python', 'Go', 'AWS', 'Blockchain']",1,316,3,8,서울,강남구,70,2024-03-03 12:45:49.300571,https://www.jumpit.co.kr/position/16969,devops/시스템 엔지니어,Jenkins
1030358,시니어 DevOps 엔지니어,모레,"['Linux', 'Docker', 'Kubernetes', 'Jenkins', 'CircleCI', 'GitHub', 'Ansible', 'Terraform', 'PyTorch', 'CUDA']",1,25,7,15,서울,서초구,70,2024-03-03 12:45:52.714574,https://www.jumpit.co.kr/position/23263,devops/시스템 엔지니어,Jenkins
1030396,[WAF팀] 웹 어플리케이션 개발자,수산아이앤티,"['Firewall', 'REST API', 'Linux', 'Python', 'Docker', 'K8S', 'Jenkins', 'GitLab']",4,91,0,8,서울,강남구,70,2024-03-03 12:44:52.510078,https://www.jumpit.co.kr/position/22418,정보보안 담당자,Jenkins
1030434,[패스오더] QA Engineer,페이타랩,"['QA', 'Jenkins']",27,1668,1,20,서울,강남구,70,2024-03-03 12:43:41.931712,https://www.jumpit.co.kr/position/14231,QA 엔지니어,Jenkins
1030478,Associate Software Quality Engineer,일렉트로닉아츠코리아,"['Jenkins', 'Travis CI', 'Python', 'C', 'C++', 'C#', 'QA', 'JavaScript', 'Scala', 'Java']",4,108,2,10,서울,강남구,70,2024-03-03 12:45:05.107816,https://www.jumpit.co.kr/position/22838,QA 엔지니어,Jenkins
1030979,Associate Software Quality Engineer,일렉트로닉아츠코리아,"['Jenkins', 'Travis CI', 'Python', 'C', 'C++', 'C#', 'QA', 'JavaScript', 'Scala', 'Java']",4,108,2,10,서울,강남구,70,2024-03-03 12:45:05.107816,https://www.jumpit.co.kr/position/22838,SW/솔루션,Jenkins
1031008,DevOps Engineer (Senior/Staff),컨트롤웍스,"['Continuous', 'Azure DevOps', 'Kubernetes', 'Jenkins', 'Git']",0,42,5,15,서울,강남구,70,2024-03-03 12:45:12.096561,https://www.jumpit.co.kr/position/22970,SW/솔루션,Jenkins
1031080,C++ 개발자 모집,이파피루스,"['C', 'C++', 'Jenkins', 'Git', 'GUI', 'Windows', 'Linux']",3,290,10,20,경기,성남시,70,2024-03-03 12:45:30.587252,https://www.jumpit.co.kr/position/18384,SW/솔루션,Jenkins
1031286,AWS Infra Engineer(인프라 엔지니어),피어테크,"['Ansible', 'AWS CloudFormation', 'Kubernetes', 'GitHub', 'Jenkins', 'Linux', 'Python', 'Go', 'AWS']",13,1123,3,8,서울,강남구,70,2024-03-03 12:43:55.722291,https://www.jumpit.co.kr/position/7984,블록체인,Jenkins
1031318,프론트엔드 개발자,아더월드,"['NestJS', 'Node.js', 'TypeORM', 'Solidity', 'Kubernetes', 'Jenkins', 'React', 'Next.js', 'Blockchain', 'TypeScript']",0,10,5,6,서울,성동구,70,2024-03-03 12:45:32.960360,https://www.jumpit.co.kr/position/23286,블록체인,Jenkins
